# Gene Family	SRS1007613.ko	tiny-test-data-mt.ko
K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	49.416	0
K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]|g__Chromobacterium.s__Chromobacterium_violaceum	43.595	0
K00029: malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]|g__Polaromonas.s__Polaromonas_naphthalenivorans	5.821	0
K00031: isocitrate dehydrogenase [EC:1.1.1.42]	72.702	0
K00031: isocitrate dehydrogenase [EC:1.1.1.42]|g__Chromobacterium.s__Chromobacterium_violaceum	4.421	0
K00031: isocitrate dehydrogenase [EC:1.1.1.42]|g__Corynebacterium.s__Corynebacterium_glutamicum	39.393	0
K00031: isocitrate dehydrogenase [EC:1.1.1.42]|g__Escherichia.s__Escherichia_coli	20.814	0
K00031: isocitrate dehydrogenase [EC:1.1.1.42]|unclassified	8.074	0
K00034: glucose 1-dehydrogenase [EC:1.1.1.47]	37.54	0
K00034: glucose 1-dehydrogenase [EC:1.1.1.47]|g__Staphylococcus.s__Staphylococcus_epidermidis	37.54	0
K00042: 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	20.871	0
K00042: 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]|g__Roseobacter.s__Roseobacter_denitrificans	20.871	0
K00052: 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	3.461	0
K00052: 3-isopropylmalate dehydrogenase [EC:1.1.1.85]|unclassified	3.461	0
K00053: ketol-acid reductoisomerase [EC:1.1.1.86]	16.527	0
K00053: ketol-acid reductoisomerase [EC:1.1.1.86]|g__Escherichia.s__Escherichia_coli	16.527	0
K00065: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	33.58	0
K00065: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]|g__Escherichia.s__Escherichia_coli	33.58	0
K00067: dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	14.91	0
K00067: dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]|unclassified	14.91	0
K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	25.345	0
K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.345	0
K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	86.902	0
K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]|g__Corynebacterium.s__Corynebacterium_glutamicum	80.621	0
K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]|unclassified	6.28	0
K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]	46.676	0
K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]|g__Escherichia.s__Escherichia_coli	24.804	0
K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]|g__Staphylococcus.s__Staphylococcus_epidermidis	21.871	0
K00088: IMP dehydrogenase [EC:1.1.1.205]	86.966	0
K00088: IMP dehydrogenase [EC:1.1.1.205]|g__Chromobacterium.s__Chromobacterium_violaceum	39.583	0
K00088: IMP dehydrogenase [EC:1.1.1.205]|g__Corynebacterium.s__Corynebacterium_glutamicum	19.251	0
K00088: IMP dehydrogenase [EC:1.1.1.205]|g__Escherichia.s__Escherichia_coli	4.173	0
K00088: IMP dehydrogenase [EC:1.1.1.205]|g__Roseobacter.s__Roseobacter_denitrificans	15.122	0
K00088: IMP dehydrogenase [EC:1.1.1.205]|g__Staphylococcus.s__Staphylococcus_epidermidis	8.836	0
K00099: 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	31.307	0
K00099: 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]|g__Escherichia.s__Escherichia_coli	31.307	0
K00101: L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	3.457	0
K00101: L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]|unclassified	3.457	0
K00104: glycolate oxidase [EC:1.1.3.15]	10.682	0
K00104: glycolate oxidase [EC:1.1.3.15]|unclassified	10.682	0
K00111: glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	25.55	0
K00111: glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]|g__Chromobacterium.s__Chromobacterium_violaceum	16.096	0
K00111: glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]|g__Escherichia.s__Escherichia_coli	9.455	0
K00116: malate dehydrogenase (quinone) [EC:1.1.5.4]	52.954	0
K00116: malate dehydrogenase (quinone) [EC:1.1.5.4]|g__Corynebacterium.s__Corynebacterium_glutamicum	22.672	0
K00116: malate dehydrogenase (quinone) [EC:1.1.5.4]|g__Escherichia.s__Escherichia_coli	9.559	0
K00116: malate dehydrogenase (quinone) [EC:1.1.5.4]|unclassified	20.723	0
K00121: S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	20.645	0
K00121: S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]|g__Chromobacterium.s__Chromobacterium_violaceum	8.505	0
K00121: S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.14	0
K00123: formate dehydrogenase major subunit [EC:1.17.1.9]	21.336	0
K00123: formate dehydrogenase major subunit [EC:1.17.1.9]|unclassified	21.336	0
K00124: formate dehydrogenase iron-sulfur subunit	99.657	0
K00124: formate dehydrogenase iron-sulfur subunit|g__Escherichia.s__Escherichia_coli	32.548	0
K00124: formate dehydrogenase iron-sulfur subunit|g__Polaromonas.s__Polaromonas_naphthalenivorans	49.418	0
K00124: formate dehydrogenase iron-sulfur subunit|g__Roseobacter.s__Roseobacter_denitrificans	17.691	0
K00127: formate dehydrogenase subunit gamma	143.693	0
K00127: formate dehydrogenase subunit gamma|g__Chromobacterium.s__Chromobacterium_violaceum	42.69	0
K00127: formate dehydrogenase subunit gamma|g__Escherichia.s__Escherichia_coli	101.003	0
K00128: aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	24.299	0
K00128: aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]|g__Staphylococcus.s__Staphylococcus_epidermidis	24.299	0
K00133: aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	28.963	0
K00133: aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]|g__Chromobacterium.s__Chromobacterium_violaceum	4.186	0
K00133: aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]|g__Polaromonas.s__Polaromonas_naphthalenivorans	24.778	0
K00134: glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	88.9	0
K00134: glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]|g__Polaromonas.s__Polaromonas_naphthalenivorans	71.593	0
K00134: glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]|unclassified	17.307	0
K00137: aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	11.059	0
K00137: aminobutyraldehyde dehydrogenase [EC:1.2.1.19]|g__Escherichia.s__Escherichia_coli	11.059	0
K00138: aldehyde dehydrogenase [EC:1.2.1.-]	64.173	0
K00138: aldehyde dehydrogenase [EC:1.2.1.-]|g__Chromobacterium.s__Chromobacterium_violaceum	17.966	0
K00138: aldehyde dehydrogenase [EC:1.2.1.-]|g__Corynebacterium.s__Corynebacterium_glutamicum	6.684	0
K00138: aldehyde dehydrogenase [EC:1.2.1.-]|g__Escherichia.s__Escherichia_coli	19.777	0
K00138: aldehyde dehydrogenase [EC:1.2.1.-]|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.747	0
K00140: malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	31.766	0
K00140: malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]|unclassified	31.766	0
K00145: N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	14.586	0
K00145: N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]|unclassified	14.586	0
K00147: glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	19.454	0
K00147: glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]|g__Corynebacterium.s__Corynebacterium_glutamicum	19.454	0
K00161: pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	12.865	0
K00161: pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]|g__Roseobacter.s__Roseobacter_denitrificans	12.865	0
K00162: pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	22.514	0
K00162: pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]|g__Staphylococcus.s__Staphylococcus_epidermidis	22.514	0
K00163: pyruvate dehydrogenase E1 component [EC:1.2.4.1]	13.129	0
K00163: pyruvate dehydrogenase E1 component [EC:1.2.4.1]|g__Corynebacterium.s__Corynebacterium_glutamicum	13.129	0
K00164: 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	29.398	0
K00164: 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]|g__Chromobacterium.s__Chromobacterium_violaceum	18.68	0
K00164: 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]|g__Escherichia.s__Escherichia_coli	3.053	0
K00164: 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.665	0
K00208: enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	134.617	0
K00208: enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]|g__Chromobacterium.s__Chromobacterium_violaceum	7.82	0
K00208: enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]|g__Escherichia.s__Escherichia_coli	108.24	0
K00208: enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.42	0
K00208: enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]|g__Staphylococcus.s__Staphylococcus_epidermidis	12.136	0
K00215: 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	28.632	0
K00215: 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]|g__Chromobacterium.s__Chromobacterium_violaceum	28.632	0
K00217: maleylacetate reductase [EC:1.3.1.32]	75.129	0
K00217: maleylacetate reductase [EC:1.3.1.32]|g__Polaromonas.s__Polaromonas_naphthalenivorans	75.129	0
K00219: 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	25.27	0
K00219: 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]|g__Chromobacterium.s__Chromobacterium_violaceum	2.585	0
K00219: 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]|g__Escherichia.s__Escherichia_coli	4.604	0
K00219: 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]|g__Roseobacter.s__Roseobacter_denitrificans	18.081	0
K00228: coproporphyrinogen III oxidase [EC:1.3.3.3]	18.496	0
K00228: coproporphyrinogen III oxidase [EC:1.3.3.3]|unclassified	18.496	0
K00239: succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	46.949	0
K00239: succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]|g__Chromobacterium.s__Chromobacterium_violaceum	33.433	0
K00239: succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]|g__Polaromonas.s__Polaromonas_naphthalenivorans	5.681	0
K00239: succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]|g__Roseobacter.s__Roseobacter_denitrificans	7.834	0
K00240: succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	19.272	0
K00240: succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]|g__Escherichia.s__Escherichia_coli	19.272	0
K00241: succinate dehydrogenase / fumarate reductase, cytochrome b subunit	177.826	0
K00241: succinate dehydrogenase / fumarate reductase, cytochrome b subunit|g__Escherichia.s__Escherichia_coli	26.361	0
K00241: succinate dehydrogenase / fumarate reductase, cytochrome b subunit|g__Staphylococcus.s__Staphylococcus_epidermidis	151.465	0
K00245: fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	107.406	0
K00245: fumarate reductase iron-sulfur subunit [EC:1.3.5.4]|g__Escherichia.s__Escherichia_coli	107.406	0
K00246: fumarate reductase subunit C	85.786	0
K00246: fumarate reductase subunit C|g__Chromobacterium.s__Chromobacterium_violaceum	62.968	0
K00246: fumarate reductase subunit C|unclassified	22.818	0
K00247: fumarate reductase subunit D	42.74	0
K00247: fumarate reductase subunit D|g__Escherichia.s__Escherichia_coli	42.74	0
K00254: dihydroorotate dehydrogenase [EC:1.3.5.2]	23.179	0
K00254: dihydroorotate dehydrogenase [EC:1.3.5.2]|g__Corynebacterium.s__Corynebacterium_glutamicum	23.179	0
K00261: glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	17.317	0
K00261: glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]|g__Roseobacter.s__Roseobacter_denitrificans	17.317	0
K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	14.216	0
K00262: glutamate dehydrogenase (NADP+) [EC:1.4.1.4]|unclassified	14.216	0
K00266: glutamate synthase (NADPH) small chain [EC:1.4.1.13]	20.499	0
K00266: glutamate synthase (NADPH) small chain [EC:1.4.1.13]|unclassified	20.499	0
K00275: pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	17.232	0
K00275: pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]|g__Roseobacter.s__Roseobacter_denitrificans	17.232	0
K00276: primary-amine oxidase [EC:1.4.3.21]	11.766	0
K00276: primary-amine oxidase [EC:1.4.3.21]|g__Escherichia.s__Escherichia_coli	11.766	0
K00278: L-aspartate oxidase [EC:1.4.3.16]	43.089	0
K00278: L-aspartate oxidase [EC:1.4.3.16]|g__Escherichia.s__Escherichia_coli	30.001	0
K00278: L-aspartate oxidase [EC:1.4.3.16]|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.087	0
K00281: glycine dehydrogenase [EC:1.4.4.2]	49.004	0
K00281: glycine dehydrogenase [EC:1.4.4.2]|g__Chromobacterium.s__Chromobacterium_violaceum	1.511	0
K00281: glycine dehydrogenase [EC:1.4.4.2]|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.591	0
K00281: glycine dehydrogenase [EC:1.4.4.2]|g__Roseobacter.s__Roseobacter_denitrificans	4.675	0
K00281: glycine dehydrogenase [EC:1.4.4.2]|unclassified	30.227	0
K00285: D-amino-acid dehydrogenase [EC:1.4.5.1]	20.138	0
K00285: D-amino-acid dehydrogenase [EC:1.4.5.1]|unclassified	20.138	0
K00287: dihydrofolate reductase [EC:1.5.1.3]	34.482	0
K00287: dihydrofolate reductase [EC:1.5.1.3]|g__Corynebacterium.s__Corynebacterium_glutamicum	34.482	0
K00297: methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	46.604	0
K00297: methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]|g__Chromobacterium.s__Chromobacterium_violaceum	14.365	0
K00297: methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]|g__Escherichia.s__Escherichia_coli	24.294	0
K00297: methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.945	0
K00299: FMN reductase [EC:1.5.1.38]	22.074	0
K00299: FMN reductase [EC:1.5.1.38]|g__Corynebacterium.s__Corynebacterium_glutamicum	22.074	0
K00311: electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	50.898	0
K00311: electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]|g__Chromobacterium.s__Chromobacterium_violaceum	50.898	0
K00324: H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	55.957	0
K00324: H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]|g__Escherichia.s__Escherichia_coli	37.113	0
K00324: H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]|g__Roseobacter.s__Roseobacter_denitrificans	18.844	0
K00331: NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	1798.726	0
K00331: NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]|g__Chromobacterium.s__Chromobacterium_violaceum	1691.747	0
K00331: NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]|g__Escherichia.s__Escherichia_coli	82.407	0
K00331: NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]|g__Roseobacter.s__Roseobacter_denitrificans	24.571	0
K00333: NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	28.397	0
K00333: NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]|g__Chromobacterium.s__Chromobacterium_violaceum	7.757	0
K00333: NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.64	0
K00340: NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	65.572	0
K00340: NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]|g__Roseobacter.s__Roseobacter_denitrificans	65.572	0
K00341: NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	15.429	0
K00341: NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]|g__Staphylococcus.s__Staphylococcus_epidermidis	15.429	0
K00342: NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	32.316	0
K00342: NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]|g__Chromobacterium.s__Chromobacterium_violaceum	32.316	0
K00343: NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	30.398	0
K00343: NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]|g__Escherichia.s__Escherichia_coli	15.474	0
K00343: NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.923	0
K00344: NADPH:quinone reductase [EC:1.6.5.5]	40.154	0
K00344: NADPH:quinone reductase [EC:1.6.5.5]|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.962	0
K00344: NADPH:quinone reductase [EC:1.6.5.5]|unclassified	28.192	0
K00348: Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]	12.127	0
K00348: Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]|unclassified	12.127	0
K00362: nitrite reductase (NADH) large subunit [EC:1.7.1.15]	4.351	0
K00362: nitrite reductase (NADH) large subunit [EC:1.7.1.15]|unclassified	4.351	0
K00364: GMP reductase [EC:1.7.1.7]	13.967	0
K00364: GMP reductase [EC:1.7.1.7]|g__Escherichia.s__Escherichia_coli	13.967	0
K00370: nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	42.003	0
K00370: nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]|g__Chromobacterium.s__Chromobacterium_violaceum	12.57	0
K00370: nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]|g__Escherichia.s__Escherichia_coli	23.846	0
K00370: nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]|g__Roseobacter.s__Roseobacter_denitrificans	5.587	0
K00371: nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	36.0	0
K00371: nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]|g__Chromobacterium.s__Chromobacterium_violaceum	13.42	0
K00371: nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]|g__Corynebacterium.s__Corynebacterium_glutamicum	2.819	0
K00371: nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]|g__Escherichia.s__Escherichia_coli	9.799	0
K00371: nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]|g__Roseobacter.s__Roseobacter_denitrificans	3.593	0
K00371: nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]|g__Staphylococcus.s__Staphylococcus_epidermidis	6.37	0
K00373: nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	129.806	0
K00373: nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW|g__Escherichia.s__Escherichia_coli	129.806	0
K00375: GntR family transcriptional regulator / MocR family aminotransferase	23.799	0
K00375: GntR family transcriptional regulator / MocR family aminotransferase|g__Roseobacter.s__Roseobacter_denitrificans	23.799	0
K00381: sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	21.942	0
K00381: sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]|g__Chromobacterium.s__Chromobacterium_violaceum	13.867	0
K00381: sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]|g__Roseobacter.s__Roseobacter_denitrificans	8.075	0
K00382: dihydrolipoamide dehydrogenase [EC:1.8.1.4]	71.224	0
K00382: dihydrolipoamide dehydrogenase [EC:1.8.1.4]|g__Chromobacterium.s__Chromobacterium_violaceum	12.535	0
K00382: dihydrolipoamide dehydrogenase [EC:1.8.1.4]|g__Escherichia.s__Escherichia_coli	27.843	0
K00382: dihydrolipoamide dehydrogenase [EC:1.8.1.4]|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.846	0
K00384: thioredoxin reductase (NADPH) [EC:1.8.1.9]	24.771	0
K00384: thioredoxin reductase (NADPH) [EC:1.8.1.9]|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.184	0
K00384: thioredoxin reductase (NADPH) [EC:1.8.1.9]|unclassified	11.587	0
K00389: putative membrane protein	35.541	0
K00389: putative membrane protein|g__Escherichia.s__Escherichia_coli	35.541	0
K00390: phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	26.813	0
K00390: phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]|g__Chromobacterium.s__Chromobacterium_violaceum	26.813	0
K00404: cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]	24.125	0
K00404: cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]|g__Chromobacterium.s__Chromobacterium_violaceum	6.564	0
K00404: cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.739	0
K00404: cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]|g__Roseobacter.s__Roseobacter_denitrificans	2.821	0
K00411: ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	19.706	0
K00411: ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.706	0
K00428: cytochrome c peroxidase [EC:1.11.1.5]	34.909	0
K00428: cytochrome c peroxidase [EC:1.11.1.5]|g__Escherichia.s__Escherichia_coli	34.909	0
K00432: glutathione peroxidase [EC:1.11.1.9]	66.541	0
K00432: glutathione peroxidase [EC:1.11.1.9]|unclassified	66.541	0
K00457: 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]	37.989	0
K00457: 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]|g__Chromobacterium.s__Chromobacterium_violaceum	13.454	0
K00457: 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]|g__Corynebacterium.s__Corynebacterium_glutamicum	20.246	0
K00457: 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]|g__Roseobacter.s__Roseobacter_denitrificans	4.289	0
K00480: salicylate hydroxylase [EC:1.14.13.1]	40.918	0
K00480: salicylate hydroxylase [EC:1.14.13.1]|g__Polaromonas.s__Polaromonas_naphthalenivorans	40.918	0
K00500: phenylalanine-4-hydroxylase [EC:1.14.16.1]	162.212	0
K00500: phenylalanine-4-hydroxylase [EC:1.14.16.1]|g__Chromobacterium.s__Chromobacterium_violaceum	53.337	0
K00500: phenylalanine-4-hydroxylase [EC:1.14.16.1]|g__Polaromonas.s__Polaromonas_naphthalenivorans	51.39	0
K00500: phenylalanine-4-hydroxylase [EC:1.14.16.1]|unclassified	57.484	0
K00525: ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	32.654	0
