Gene Family	SRS1007613	tiny-test-data-mt
COG0051: tRNA binding	257.228	0
COG0051: tRNA binding|g__Roseobacter.s__Roseobacter_denitrificans	257.228	0
COG0052: 30S ribosomal protein S2	25.467	0
COG0052: 30S ribosomal protein S2|g__Escherichia.s__Escherichia_coli	25.467	0
COG0053: cation diffusion facilitator family transporter	80.093	0
COG0053: cation diffusion facilitator family transporter|g__Corynebacterium.s__Corynebacterium_glutamicum	16.242	0
COG0053: cation diffusion facilitator family transporter|g__Escherichia.s__Escherichia_coli	39.219	0
COG0053: cation diffusion facilitator family transporter|g__Polaromonas.s__Polaromonas_naphthalenivorans	24.632	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)	334.97	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	68.456	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)|g__Escherichia.s__Escherichia_coli	20.115	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	29.889	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	216.51	0
COG0055: Produces ATP from ADP in the p[...] beta subunits (By similarity)	9.092	0
COG0055: Produces ATP from ADP in the p[...] beta subunits (By similarity)|unclassified	9.092	0
COG0057: glyceraldehyde3phosphate dehydrogenase	76.336	0
COG0057: glyceraldehyde3phosphate dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	76.336	0
COG0058: Phosphorylase is an important [...]ral properties (By similarity)	5.881	0
COG0058: Phosphorylase is an important [...]ral properties (By similarity)|unclassified	5.881	0
COG0061: Catalyzes the phosphorylation [...] of phosphorus (By similarity)	45.502	0
COG0061: Catalyzes the phosphorylation [...] of phosphorus (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	25.63	0
COG0061: Catalyzes the phosphorylation [...] of phosphorus (By similarity)|unclassified	19.872	0
COG0065: Catalyzes the isomerization be[...]opropylmaleate (By similarity)	59.328	0
COG0065: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	59.328	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)	99.142	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	36.637	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	33.977	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|unclassified	28.528	0
COG0067: glutamate synthase	24.188	0
COG0067: glutamate synthase|g__Roseobacter.s__Roseobacter_denitrificans	24.188	0
COG0073: Is required not only for elong[...]aminoacylation (By similarity)	35.777	0
COG0073: Is required not only for elong[...]aminoacylation (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	27.923	0
COG0073: Is required not only for elong[...]aminoacylation (By similarity)|unclassified	7.855	0
COG0074: Succinyl-CoA ligase ADP-forming subunit alpha	20.267	0
COG0074: Succinyl-CoA ligase ADP-forming subunit alpha|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.267	0
COG0076: decarboxylase	4.306	0
COG0076: decarboxylase|unclassified	4.306	0
COG0078: ornithine carbamoyltransferase	53.374	0
COG0078: ornithine carbamoyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	29.737	0
COG0078: ornithine carbamoyltransferase|g__Escherichia.s__Escherichia_coli	12.488	0
COG0078: ornithine carbamoyltransferase|g__Staphylococcus.s__Staphylococcus_epidermidis	11.15	0
COG0079: Imidazole acetol-phosphate transaminase	32.746	0
COG0079: Imidazole acetol-phosphate transaminase|g__Chromobacterium.s__Chromobacterium_violaceum	32.746	0
COG0080: This protein binds directly to[...] ribosomal RNA (By similarity)	544.336	0
COG0080: This protein binds directly to[...] ribosomal RNA (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	299.168	0
COG0080: This protein binds directly to[...] ribosomal RNA (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	245.168	0
COG0081: Binds directly to 23S rRNA. Th[...]e tRNA release (By similarity)	110.876	0
COG0081: Binds directly to 23S rRNA. Th[...]e tRNA release (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	68.511	0
COG0081: Binds directly to 23S rRNA. Th[...]e tRNA release (By similarity)|g__Escherichia.s__Escherichia_coli	42.365	0
COG0082: 5-enolpyruvylshikimate-3-phosphate phospholyase	46.095	0
COG0082: 5-enolpyruvylshikimate-3-phosphate phospholyase|g__Corynebacterium.s__Corynebacterium_glutamicum	46.095	0
COG0084: tatd family	84.804	0
COG0084: tatd family|g__Escherichia.s__Escherichia_coli	84.804	0
COG0085: DNA-dependent RNA polymerase c[...] as substrates (By similarity)	25.638	0
COG0085: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	25.638	0
COG0086: DNA-dependent RNA polymerase c[...] as substrates (By similarity)	30.431	0
COG0086: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	30.431	0
COG0088: One of the primary rRNA bindin[...]t and ribosome (By similarity)	40.31	0
COG0088: One of the primary rRNA bindin[...]t and ribosome (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	24.82	0
COG0088: One of the primary rRNA bindin[...]t and ribosome (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	15.49	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity	169.699	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Corynebacterium.s__Corynebacterium_glutamicum	137.333	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	17.456	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Roseobacter.s__Roseobacter_denitrificans	14.911	0
COG0091: The globular domain of the pro[...]e 70S ribosome (By similarity)	235.178	0
COG0091: The globular domain of the pro[...]e 70S ribosome (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	163.241	0
COG0091: The globular domain of the pro[...]e 70S ribosome (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	71.937	0
COG0092: Binds the lower part of the 30[...]or translation (By similarity)	13.603	0
COG0092: Binds the lower part of the 30[...]or translation (By similarity)|g__Escherichia.s__Escherichia_coli	13.603	0
COG0095: Lipoate-protein, ligase	40.47	0
COG0095: Lipoate-protein, ligase|unclassified	40.47	0
COG0096: One of the primary rRNA bindin[...]he 30S subunit (By similarity)	88.515	0
COG0096: One of the primary rRNA bindin[...]he 30S subunit (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	88.515	0
COG0097: This protein binds to the 23S [...]sferase center (By similarity)	34.293	0
COG0097: This protein binds to the 23S [...]sferase center (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	34.293	0
COG0099: Located at the top of the head[...]1b), connecting the 2 subunits	330.626	0
COG0099: Located at the top of the head[...]1b), connecting the 2 subunits|g__Chromobacterium.s__Chromobacterium_violaceum	240.003	0
COG0099: Located at the top of the head[...]1b), connecting the 2 subunits|g__Escherichia.s__Escherichia_coli	90.624	0
COG0100: Located on the platform of the[...]e 70S ribosome (By similarity)	77.365	0
COG0100: Located on the platform of the[...]e 70S ribosome (By similarity)|g__Escherichia.s__Escherichia_coli	77.365	0
COG0101: Formation of pseudouridine at [...] transfer RNAs (By similarity)	67.495	0
COG0101: Formation of pseudouridine at [...] transfer RNAs (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	67.495	0
COG0102: This protein is one of the ear[...]f 50S assembly (By similarity)	43.27	0
COG0102: This protein is one of the ear[...]f 50S assembly (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	43.27	0
COG0103: 30S ribosomal protein S9	300.783	0
COG0103: 30S ribosomal protein S9|g__Chromobacterium.s__Chromobacterium_violaceum	146.354	0
COG0103: 30S ribosomal protein S9|g__Escherichia.s__Escherichia_coli	87.06	0
COG0103: 30S ribosomal protein S9|g__Roseobacter.s__Roseobacter_denitrificans	67.369	0
COG0104: Plays an important role in the[...]purine nucleotide biosynthesis	116.118	0
COG0104: Plays an important role in the[...]purine nucleotide biosynthesis|g__Chromobacterium.s__Chromobacterium_violaceum	39.367	0
COG0104: Plays an important role in the[...]purine nucleotide biosynthesis|g__Corynebacterium.s__Corynebacterium_glutamicum	13.402	0
COG0104: Plays an important role in the[...]purine nucleotide biosynthesis|g__Polaromonas.s__Polaromonas_naphthalenivorans	63.348	0
COG0105: Major role in the synthesis of[...]e intermediate (By similarity)	108.827	0
COG0105: Major role in the synthesis of[...]e intermediate (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	108.827	0
COG0108: Catalyzes the conversion of D-[...]ne 4-phosphate (By similarity)	34.737	0
COG0108: Catalyzes the conversion of D-[...]ne 4-phosphate (By similarity)|g__Escherichia.s__Escherichia_coli	25.341	0
COG0108: Catalyzes the conversion of D-[...]ne 4-phosphate (By similarity)|unclassified	9.396	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)	114.77	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	15.742	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)|g__Escherichia.s__Escherichia_coli	68.263	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	30.765	0
COG0110: acetyltransferase	91.259	0
COG0110: acetyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	18.892	0
COG0110: acetyltransferase|g__Escherichia.s__Escherichia_coli	56.589	0
COG0110: acetyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	15.778	0
COG0111: Dehydrogenase	21.119	0
COG0111: Dehydrogenase|g__Escherichia.s__Escherichia_coli	21.119	0
COG0112: Catalyzes the reversible inter[...]ldol mechanism (By similarity)	13.916	0
COG0112: Catalyzes the reversible inter[...]ldol mechanism (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	13.916	0
COG0113: delta-aminolevulinic acid dehydratase	24.37	0
COG0113: delta-aminolevulinic acid dehydratase|g__Escherichia.s__Escherichia_coli	24.37	0
COG0114: fumarate hydratase class II	58.527	0
COG0114: fumarate hydratase class II|g__Chromobacterium.s__Chromobacterium_violaceum	58.527	0
COG0115: brancheD-chain amino acid aminotransferase	4.232	0
COG0115: brancheD-chain amino acid aminotransferase|unclassified	4.232	0
COG0116: Specifically methylates the gu[...]9) of 23S rRNA (By similarity)	30.161	0
COG0116: Specifically methylates the gu[...]9) of 23S rRNA (By similarity)|unclassified	30.161	0
COG0117: Converts 2,5-diamino-6-(ribosy[...]e 5'-phosphate (By similarity)	35.134	0
COG0117: Converts 2,5-diamino-6-(ribosy[...]e 5'-phosphate (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	18.425	0
COG0117: Converts 2,5-diamino-6-(ribosy[...]e 5'-phosphate (By similarity)|unclassified	16.709	0
COG0119: Catalyzes the condensation of [...]opropylmalate) (By similarity)	110.445	0
COG0119: Catalyzes the condensation of [...]opropylmalate) (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	80.636	0
COG0119: Catalyzes the condensation of [...]opropylmalate) (By similarity)|unclassified	29.809	0
COG0120: phosphoriboisomerase A	152.802	0
COG0120: phosphoriboisomerase A|g__Roseobacter.s__Roseobacter_denitrificans	152.802	0
COG0121: Glutamine amidotransferase	27.443	0
COG0121: Glutamine amidotransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	27.443	0
COG0122: Glycosylase	41.043	0
COG0122: Glycosylase|g__Roseobacter.s__Roseobacter_denitrificans	41.043	0
COG0124: Histidyl-trna synthetase	75.71	0
COG0124: Histidyl-trna synthetase|g__Corynebacterium.s__Corynebacterium_glutamicum	48.726	0
COG0124: Histidyl-trna synthetase|g__Staphylococcus.s__Staphylococcus_epidermidis	19.634	0
COG0124: Histidyl-trna synthetase|unclassified	7.35	0
COG0125: Phosphorylation of dTMP to for[...]dTTP synthesis (By similarity)	111.108	0
COG0125: Phosphorylation of dTMP to for[...]dTTP synthesis (By similarity)|g__Escherichia.s__Escherichia_coli	90.015	0
COG0125: Phosphorylation of dTMP to for[...]dTTP synthesis (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	21.092	0
COG0126: phosphoglycerate kinase	49.748	0
COG0126: phosphoglycerate kinase|g__Staphylococcus.s__Staphylococcus_epidermidis	37.273	0
COG0126: phosphoglycerate kinase|unclassified	12.475	0
COG0127: Pyrophosphatase that hydrolyze[...]osomal lesions (By similarity)	73.41	0
COG0127: Pyrophosphatase that hydrolyze[...]osomal lesions (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	51.644	0
COG0127: Pyrophosphatase that hydrolyze[...]osomal lesions (By similarity)|g__Escherichia.s__Escherichia_coli	21.765	0
COG0128: 5-enolpyruvylshikimate-3-phosphate synthase	81.224	0
COG0128: 5-enolpyruvylshikimate-3-phosphate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	81.224	0
COG0129: Dihydroxy-acid dehydratase	63.526	0
COG0129: Dihydroxy-acid dehydratase|g__Corynebacterium.s__Corynebacterium_glutamicum	16.591	0
COG0129: Dihydroxy-acid dehydratase|g__Polaromonas.s__Polaromonas_naphthalenivorans	26.131	0
COG0129: Dihydroxy-acid dehydratase|unclassified	20.804	0
COG0130: Responsible for synthesis of p[...] transfer RNAs (By similarity)	61.543	0
COG0130: Responsible for synthesis of p[...] transfer RNAs (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	45.776	0
COG0130: Responsible for synthesis of p[...] transfer RNAs (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	15.767	0
COG0132: Catalyzes a mechanistically un[...]an ureido ring (By similarity)	106.972	0
COG0132: Catalyzes a mechanistically un[...]an ureido ring (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	106.972	0
COG0133: The beta subunit is responsibl[...]e and L-serine (By similarity)	44.419	0
COG0133: The beta subunit is responsibl[...]e and L-serine (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	44.419	0
COG0134: indole-3-glycerol phosphate synthase	21.358	0
COG0134: indole-3-glycerol phosphate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	21.358	0
COG0135: N-(5'-phosphoribosyl)anthranilate isomerase	73.309	0
COG0135: N-(5'-phosphoribosyl)anthranilate isomerase|g__Polaromonas.s__Polaromonas_naphthalenivorans	56.496	0
COG0135: N-(5'-phosphoribosyl)anthranilate isomerase|unclassified	16.813	0
COG0136: Catalyzes the NADPH-dependent [...]yl-4-phosphate (By similarity)	26.419	0
COG0136: Catalyzes the NADPH-dependent [...]yl-4-phosphate (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	26.419	0
COG0137: Citrulline--aspartate ligase	46.737	0
COG0137: Citrulline--aspartate ligase|g__Roseobacter.s__Roseobacter_denitrificans	46.737	0
COG0138: bifunctional purine biosynthesis protein PURH	30.211	0
COG0138: bifunctional purine biosynthesis protein PURH|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.211	0
COG0143: Is required not only for elong[...]aminoacylation (By similarity)	7.855	0
COG0143: Is required not only for elong[...]aminoacylation (By similarity)|unclassified	7.855	0
COG0147: synthase (Component I)	59.55	0
COG0147: synthase (Component I)|g__Roseobacter.s__Roseobacter_denitrificans	36.923	0
COG0147: synthase (Component I)|unclassified	22.628	0
COG0148: Catalyzes the reversible conve[...]via glycolysis (By similarity)	109.793	0
COG0148: Catalyzes the reversible conve[...]via glycolysis (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	96.474	0
COG0148: Catalyzes the reversible conve[...]via glycolysis (By similarity)|g__Escherichia.s__Escherichia_coli	13.319	0
COG0149: triosephosphate isomerase	45.263	0
COG0149: triosephosphate isomerase|g__Polaromonas.s__Polaromonas_naphthalenivorans	45.263	0
COG0151: Phosphoribosylglycinamide synthetase	13.771	0
COG0151: Phosphoribosylglycinamide synthetase|g__Corynebacterium.s__Corynebacterium_glutamicum	13.771	0
COG0154: Allows the formation of correc[...]-Glu-tRNA(Gln) (By similarity)	22.863	0
COG0154: Allows the formation of correc[...]-Glu-tRNA(Gln) (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	22.863	0
COG0156: 8-Amino-7-oxononanoate synthase	68.495	0
COG0156: 8-Amino-7-oxononanoate synthase|g__Staphylococcus.s__Staphylococcus_epidermidis	44.216	0
COG0156: 8-Amino-7-oxononanoate synthase|unclassified	24.279	0
COG0158: D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1	36.614	0
COG0158: D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1|g__Polaromonas.s__Polaromonas_naphthalenivorans	36.614	0
COG0160: transaminase activity	83.121	0
COG0160: transaminase activity|g__Corynebacterium.s__Corynebacterium_glutamicum	83.121	0
COG0161: Catalyzes the transfer of the [...]an amino donor (By similarity)	28.224	0
COG0161: Catalyzes the transfer of the [...]an amino donor (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	28.224	0
COG0162: Catalyzes the attachment of ty[...]d of tRNA(Tyr) (By similarity)	17.798	0
COG0162: Catalyzes the attachment of ty[...]d of tRNA(Tyr) (By similarity)|unclassified	17.798	0
COG0164: Endonuclease that specifically[...]A- DNA hybrids (By similarity)	195.53	0
COG0164: Endonuclease that specifically[...]A- DNA hybrids (By similarity)|g__Escherichia.s__Escherichia_coli	22.143	0
COG0164: Endonuclease that specifically[...]A- DNA hybrids (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	27.74	0
COG0164: Endonuclease that specifically[...]A- DNA hybrids (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	145.647	0
COG0167: Catalyzes the conversion of dihydroorotate to orotate	56.116	0
COG0167: Catalyzes the conversion of dihydroorotate to orotate|g__Corynebacterium.s__Corynebacterium_glutamicum	24.715	0
COG0167: Catalyzes the conversion of dihydroorotate to orotate|g__Staphylococcus.s__Staphylococcus_epidermidis	31.401	0
COG0169: shikimate dehydrogenase	70.849	0
COG0169: shikimate dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	11.288	0
COG0169: shikimate dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	53.081	0
COG0169: shikimate dehydrogenase|unclassified	6.48	0
COG0171: nh(3)-dependent nad( ) synthetase	6.335	0
COG0171: nh(3)-dependent nad( ) synthetase|unclassified	6.335	0
COG0172: Catalyzes the attachment of se[...]inyl-tRNA(Sec) (By similarity)	53.117	0
COG0172: Catalyzes the attachment of se[...]inyl-tRNA(Sec) (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	33.395	0
COG0172: Catalyzes the attachment of se[...]inyl-tRNA(Sec) (By similarity)|unclassified	19.721	0
COG0175: Reduction of activated sulfate into sulfite (By similarity)	90.17	0
COG0175: Reduction of activated sulfate into sulfite (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	28.589	0
COG0175: Reduction of activated sulfate into sulfite (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	31.167	0
COG0175: Reduction of activated sulfate into sulfite (By similarity)|unclassified	30.414	0
COG0176: Transaldolase is important for[...]sphate pathway (By similarity)	309.504	0
COG0176: Transaldolase is important for[...]sphate pathway (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	47.538	0
COG0176: Transaldolase is important for[...]sphate pathway (By similarity)|g__Escherichia.s__Escherichia_coli	12.594	0
COG0176: Transaldolase is important for[...]sphate pathway (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	35.485	0
COG0176: Transaldolase is important for[...]sphate pathway (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	63.045	0
COG0176: Transaldolase is important for[...]sphate pathway (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	71.937	0
COG0176: Transaldolase is important for[...]sphate pathway (By similarity)|unclassified	78.906	0
COG0177: endonuclease III	97.986	0
COG0177: endonuclease III|g__Escherichia.s__Escherichia_coli	38.058	0
COG0177: endonuclease III|unclassified	59.928	0
