# Gene Family	SRS1007613.rxn	tiny-test-data-mt.rxn
1.5.8.2-RXN: NO_NAME	78.874	0
1.5.8.2-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	78.874	0
1.6.4.4-RXN: NO_NAME	2334.952	0
1.6.4.4-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	323.226	0
1.6.4.4-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	2011.726	0
1.6.5.7-RXN: NO_NAME	77.57	0
1.6.5.7-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	77.57	0
1.6.99.5-RXN: NO_NAME	1007.448	0
1.6.99.5-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	45.778	0
1.6.99.5-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	484.04	0
1.6.99.5-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	42.846	0
1.6.99.5-RXN: NO_NAME|unclassified	434.784	0
1.7.2.2-RXN: NO_NAME	82.929	0
1.7.2.2-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	82.929	0
1.7.2.3-RXN: NO_NAME	38.428	0
1.7.2.3-RXN: NO_NAME|unclassified	38.428	0
1.8.1.4-RXN: Dihydrolipoamide dehydrogenase	133.994	0
1.8.1.4-RXN: Dihydrolipoamide dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	12.535	0
1.8.1.4-RXN: Dihydrolipoamide dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	50.33	0
1.8.1.4-RXN: Dihydrolipoamide dehydrogenase|g__Escherichia.s__Escherichia_coli	27.843	0
1.8.1.4-RXN: Dihydrolipoamide dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.846	0
1.8.1.4-RXN: Dihydrolipoamide dehydrogenase|unclassified	12.439	0
1.8.4.12-RXN: NO_NAME	35.305	0
1.8.4.12-RXN: NO_NAME|unclassified	35.305	0
1.8.4.14-RXN: NO_NAME	69.835	0
1.8.4.14-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	69.835	0
1.8.4.8-RXN: NO_NAME	91.426	0
1.8.4.8-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	26.813	0
1.8.4.8-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	29.231	0
1.8.4.8-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	35.383	0
1PFRUCTPHOSN-RXN: NO_NAME	15.508	0
1PFRUCTPHOSN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	15.508	0
1TRANSKETO-RXN: NO_NAME	281.16	0
1TRANSKETO-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	53.666	0
1TRANSKETO-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.26	0
1TRANSKETO-RXN: NO_NAME|unclassified	220.234	0
2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: 2-chlorobenzoate 1,2-dioxygenase	11.447	0
2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: 2-chlorobenzoate 1,2-dioxygenase|g__Corynebacterium.s__Corynebacterium_glutamicum	4.262	0
2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: 2-chlorobenzoate 1,2-dioxygenase|g__Escherichia.s__Escherichia_coli	7.185	0
2-DEHYDROPANTOATE-REDUCT-RXN: NO_NAME	220.319	0
2-DEHYDROPANTOATE-REDUCT-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	94.158	0
2-DEHYDROPANTOATE-REDUCT-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	21.871	0
2-DEHYDROPANTOATE-REDUCT-RXN: NO_NAME|unclassified	104.29	0
2-ISOPROPYLMALATESYN-RXN: NO_NAME	182.248	0
2-ISOPROPYLMALATESYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	46.542	0
2-ISOPROPYLMALATESYN-RXN: NO_NAME|unclassified	135.706	0
2-METHYLCITRATE-DEHYDRATASE-RXN: NO_NAME	17.626	0
2-METHYLCITRATE-DEHYDRATASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	9.957	0
2-METHYLCITRATE-DEHYDRATASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	7.67	0
2-METHYLCITRATE-SYNTHASE-RXN: NO_NAME	69.822	0
2-METHYLCITRATE-SYNTHASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	18.361	0
2-METHYLCITRATE-SYNTHASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	34.933	0
2-METHYLCITRATE-SYNTHASE-RXN: NO_NAME|unclassified	16.527	0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: 2-octaprenyl-6-hydroxyphenyl methylase	64.767	0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: 2-octaprenyl-6-hydroxyphenyl methylase|g__Chromobacterium.s__Chromobacterium_violaceum	19.382	0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: 2-octaprenyl-6-hydroxyphenyl methylase|g__Escherichia.s__Escherichia_coli	7.744	0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: 2-octaprenyl-6-hydroxyphenyl methylase|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.334	0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN: 2-octaprenyl-6-hydroxyphenyl methylase|g__Roseobacter.s__Roseobacter_denitrificans	18.306	0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: NO_NAME	27.446	0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	12.136	0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN: NO_NAME|unclassified	15.31	0
2-OXOBUTYRATE-SYNTHASE-RXN: NO_NAME	57.941	0
2-OXOBUTYRATE-SYNTHASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	22.993	0
2-OXOBUTYRATE-SYNTHASE-RXN: NO_NAME|unclassified	34.948	0
2-OXOPENT-4-ENOATE-HYDRATASE-RXN: NO_NAME	34.863	0
2-OXOPENT-4-ENOATE-HYDRATASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	17.613	0
2-OXOPENT-4-ENOATE-HYDRATASE-RXN: NO_NAME|unclassified	17.249	0
2.1.1.130-RXN: NO_NAME	16.901	0
2.1.1.130-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.901	0
2.1.1.133-RXN: NO_NAME	22.536	0
2.1.1.133-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	22.536	0
2.1.1.34-RXN: NO_NAME	111.601	0
2.1.1.34-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	79.976	0
2.1.1.34-RXN: NO_NAME|unclassified	31.626	0
2.1.1.63-RXN: NO_NAME	93.47	0
2.1.1.63-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	78.16	0
2.1.1.63-RXN: NO_NAME|unclassified	15.31	0
2.1.1.64-RXN: 3-Demethylubiquinone-9 3-O-methyltransferase	69.679	0
2.1.1.64-RXN: 3-Demethylubiquinone-9 3-O-methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	19.382	0
2.1.1.64-RXN: 3-Demethylubiquinone-9 3-O-methyltransferase|g__Escherichia.s__Escherichia_coli	7.744	0
2.1.1.64-RXN: 3-Demethylubiquinone-9 3-O-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.334	0
2.1.1.64-RXN: 3-Demethylubiquinone-9 3-O-methyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	18.306	0
2.1.1.64-RXN: 3-Demethylubiquinone-9 3-O-methyltransferase|unclassified	4.912	0
2.1.1.72-RXN: NO_NAME	22.035	0
2.1.1.72-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	22.035	0
2.1.1.77-RXN: NO_NAME	176.464	0
2.1.1.77-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	138.712	0
2.1.1.77-RXN: NO_NAME|unclassified	37.752	0
2.1.1.79-RXN: NO_NAME	55.029	0
2.1.1.79-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	14.761	0
2.1.1.79-RXN: NO_NAME|unclassified	40.268	0
2.1.3.1-RXN: NO_NAME	7.961	0
2.1.3.1-RXN: NO_NAME|unclassified	7.961	0
2.3.1.118-RXN: NO_NAME	36.519	0
2.3.1.118-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	36.519	0
2.3.1.157-RXN: NO_NAME	44.787	0
2.3.1.157-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	7.334	0
2.3.1.157-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	5.468	0
2.3.1.157-RXN: NO_NAME|unclassified	31.986	0
2.3.1.179-RXN: NO_NAME	29.981	0
2.3.1.179-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	12.824	0
2.3.1.179-RXN: NO_NAME|unclassified	17.158	0
2.3.1.180-RXN: NO_NAME	225.837	0
2.3.1.180-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	29.354	0
2.3.1.180-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	39.412	0
2.3.1.180-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	50.226	0
2.3.1.180-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	33.992	0
2.3.1.180-RXN: NO_NAME|unclassified	72.854	0
2.3.1.184-RXN: NO_NAME	30.337	0
2.3.1.184-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	30.337	0
2.3.1.41-RXN: NO_NAME	608.091	0
2.3.1.41-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	513.532	0
2.3.1.41-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	9.335	0
2.3.1.41-RXN: NO_NAME|unclassified	85.224	0
2.4.1.129-RXN: Peptidoglycan glycosyltransferase	458.519	0
2.4.1.129-RXN: Peptidoglycan glycosyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	42.237	0
2.4.1.129-RXN: Peptidoglycan glycosyltransferase|g__Escherichia.s__Escherichia_coli	151.931	0
2.4.1.129-RXN: Peptidoglycan glycosyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	40.223	0
2.4.1.129-RXN: Peptidoglycan glycosyltransferase|unclassified	224.128	0
2.4.1.230-RXN: NO_NAME	19.59	0
2.4.1.230-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	19.59	0
2.4.1.243-RXN: NO_NAME	18.857	0
2.4.1.243-RXN: NO_NAME|unclassified	18.857	0
2.4.1.52-RXN: NO_NAME	19.609	0
2.4.1.52-RXN: NO_NAME|unclassified	19.609	0
2.5.1.19-RXN: NO_NAME	180.416	0
2.5.1.19-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	76.178	0
2.5.1.19-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	11.331	0
2.5.1.19-RXN: NO_NAME|unclassified	92.908	0
2.5.1.64-RXN: NO_NAME	45.45	0
2.5.1.64-RXN: NO_NAME|unclassified	45.45	0
2.6.1.37-RXN: NO_NAME	112.865	0
2.6.1.37-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	112.865	0
2.6.1.57-RXN: NO_NAME	61.71	0
2.6.1.57-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	24.547	0
2.6.1.57-RXN: NO_NAME|unclassified	37.163	0
2.6.1.82-RXN: NO_NAME	115.698	0
2.6.1.82-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	78.707	0
2.6.1.82-RXN: NO_NAME|unclassified	36.991	0
2.7.1.148-RXN: NO_NAME	324.968	0
2.7.1.148-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	16.348	0
2.7.1.148-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	223.155	0
2.7.1.148-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	23.737	0
2.7.1.148-RXN: NO_NAME|unclassified	61.728	0
2.7.1.156-RXN: NO_NAME	458.287	0
2.7.1.156-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	422.1	0
2.7.1.156-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	36.187	0
2.7.1.69-RXN: NO_NAME	102.019	0
2.7.1.69-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	25.097	0
2.7.1.69-RXN: NO_NAME|unclassified	76.922	0
2.7.13.3-RXN: NO_NAME	2996.81	0
2.7.13.3-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	19.397	0
2.7.13.3-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	1726.348	0
2.7.13.3-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	83.93	0
2.7.13.3-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	16.664	0
2.7.13.3-RXN: NO_NAME|unclassified	1150.472	0
2.7.3.9-RXN: NO_NAME	116.756	0
2.7.3.9-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	64.753	0
2.7.3.9-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	11.15	0
2.7.3.9-RXN: NO_NAME|unclassified	40.853	0
2.7.7.1-RXN: NO_NAME	34.533	0
2.7.7.1-RXN: NO_NAME|unclassified	34.533	0
2.7.7.13-RXN: NO_NAME	63.973	0
2.7.7.13-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	63.973	0
2.7.7.60-RXN: NO_NAME	13.358	0
2.7.7.60-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	13.358	0
2.7.7.8-RXN: NO_NAME	69.637	0
2.7.7.8-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	58.312	0
2.7.7.8-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	2.106	0
2.7.7.8-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.219	0
2.7.9.3-RXN: NO_NAME	112.468	0
2.7.9.3-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	89.693	0
2.7.9.3-RXN: NO_NAME|unclassified	22.775	0
2.8.1.5-RXN: NO_NAME	45.242	0
2.8.1.5-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	45.242	0
2.8.1.6-RXN: NO_NAME	79.832	0
2.8.1.6-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	4.575	0
2.8.1.6-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	41.28	0
2.8.1.6-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	17.461	0
2.8.1.6-RXN: NO_NAME|unclassified	16.516	0
2.8.3.10-RXN: NO_NAME	13.377	0
2.8.3.10-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	13.377	0
2.9.1.1-RXN: NO_NAME	249.925	0
2.9.1.1-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	243.268	0
2.9.1.1-RXN: NO_NAME|unclassified	6.656	0
2OXOGLUTDECARB-RXN: NO_NAME	59.047	0
2OXOGLUTDECARB-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	18.68	0
2OXOGLUTDECARB-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	3.053	0
2OXOGLUTDECARB-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.665	0
2OXOGLUTDECARB-RXN: NO_NAME|unclassified	29.649	0
2PGADEHYDRAT-RXN: NO_NAME	61.612	0
2PGADEHYDRAT-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	41.128	0
2PGADEHYDRAT-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.898	0
2PGADEHYDRAT-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	13.585	0
2TRANSKETO-RXN: D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	281.16	0
2TRANSKETO-RXN: D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase|g__Escherichia.s__Escherichia_coli	53.666	0
2TRANSKETO-RXN: D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.26	0
2TRANSKETO-RXN: D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase|unclassified	220.234	0
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN: NO_NAME	13.236	0
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN: NO_NAME|unclassified	13.236	0
3-DEHYDROQUINATE-DEHYDRATASE-RXN: NO_NAME	32.191	0
3-DEHYDROQUINATE-DEHYDRATASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	22.363	0
3-DEHYDROQUINATE-DEHYDRATASE-RXN: NO_NAME|unclassified	9.829	0
3-DEHYDROQUINATE-SYNTHASE-RXN: NO_NAME	530.095	0
3-DEHYDROQUINATE-SYNTHASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	428.389	0
3-DEHYDROQUINATE-SYNTHASE-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.823	0
3-DEHYDROQUINATE-SYNTHASE-RXN: NO_NAME|unclassified	89.882	0
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN: NO_NAME	10.212	0
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN: NO_NAME|unclassified	10.212	0
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN: NO_NAME	56.443	0
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	31.098	0
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.345	0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: NO_NAME	63.555	0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	15.251	0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	37.91	0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN: NO_NAME|unclassified	10.393	0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN: NO_NAME	9.531	0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN: NO_NAME|unclassified	9.531	0
3-NUCLEOTID-RXN: NO_NAME	115.001	0
3-NUCLEOTID-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	58.808	0
3-NUCLEOTID-RXN: NO_NAME|unclassified	56.193	0
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN: NO_NAME	24.767	0
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN: NO_NAME|unclassified	24.767	0
3-OXOACID-COA-TRANSFERASE-RXN: NO_NAME	98.964	0
3-OXOACID-COA-TRANSFERASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	21.401	0
3-OXOACID-COA-TRANSFERASE-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	47.965	0
3-OXOACID-COA-TRANSFERASE-RXN: NO_NAME|unclassified	29.598	0
3-OXOACYL-ACP-REDUCT-RXN: NO_NAME	187.168	0
3-OXOACYL-ACP-REDUCT-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	57.175	0
3-OXOACYL-ACP-REDUCT-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	49.651	0
3-OXOACYL-ACP-REDUCT-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.882	0
3-OXOACYL-ACP-REDUCT-RXN: NO_NAME|unclassified	67.46	0
3-OXOACYL-ACP-SYNTH-BASE-RXN: acetoacetyl-[acyl-carrier protein] synthase	608.091	0
3-OXOACYL-ACP-SYNTH-BASE-RXN: acetoacetyl-[acyl-carrier protein] synthase|g__Escherichia.s__Escherichia_coli	513.532	0
3-OXOACYL-ACP-SYNTH-BASE-RXN: acetoacetyl-[acyl-carrier protein] synthase|g__Roseobacter.s__Roseobacter_denitrificans	9.335	0
3-OXOACYL-ACP-SYNTH-BASE-RXN: acetoacetyl-[acyl-carrier protein] synthase|unclassified	85.224	0
3-OXOACYL-ACP-SYNTH-RXN: 3-oxoacyl-[acyl-carrier protein] synthase	608.091	0
3-OXOACYL-ACP-SYNTH-RXN: 3-oxoacyl-[acyl-carrier protein] synthase|g__Escherichia.s__Escherichia_coli	513.532	0
3-OXOACYL-ACP-SYNTH-RXN: 3-oxoacyl-[acyl-carrier protein] synthase|g__Roseobacter.s__Roseobacter_denitrificans	9.335	0
3-OXOACYL-ACP-SYNTH-RXN: 3-oxoacyl-[acyl-carrier protein] synthase|unclassified	85.224	0
3-OXOADIPATE-COA-TRANSFERASE-RXN: NO_NAME	81.867	0
3-OXOADIPATE-COA-TRANSFERASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	23.415	0
