# Gene Family	SRS1007613.level4ec	tiny-test-data-mt.level4ec
1.1.1.193: 5-amino-6-(5-phosphoribosylamino)uracil reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	17.28	0
1.1.1.193: 5-amino-6-(5-phosphoribosylamino)uracil reductase|g__Escherichia.s__Escherichia_coli	32.045	0
1.1.1.193: 5-amino-6-(5-phosphoribosylamino)uracil reductase|unclassified	11.757	0
1.1.1.1: Alcohol dehydrogenase	242.792	0
1.1.1.1: Alcohol dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	8.505	0
1.1.1.1: Alcohol dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	48.035	0
1.1.1.1: Alcohol dehydrogenase|g__Escherichia.s__Escherichia_coli	93.798	0
1.1.1.1: Alcohol dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.14	0
1.1.1.1: Alcohol dehydrogenase|unclassified	80.314	0
1.1.1.203: Uronate dehydrogenase	129.397	0
1.1.1.203: Uronate dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	129.397	0
1.1.1.205: IMP dehydrogenase	188.157	0
1.1.1.205: IMP dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	80.651	0
1.1.1.205: IMP dehydrogenase|g__Escherichia.s__Escherichia_coli	42.988	0
1.1.1.205: IMP dehydrogenase|g__Roseobacter.s__Roseobacter_denitrificans	15.122	0
1.1.1.205: IMP dehydrogenase|g__Staphylococcus.s__Staphylococcus_epidermidis	8.836	0
1.1.1.205: IMP dehydrogenase|unclassified	40.559	0
1.1.1.218: Morphine 6-dehydrogenase	22.434	0
1.1.1.218: Morphine 6-dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	22.434	0
1.1.1.22: UDP-glucose 6-dehydrogenase	56.068	0
1.1.1.22: UDP-glucose 6-dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	22.736	0
1.1.1.22: UDP-glucose 6-dehydrogenase|g__Escherichia.s__Escherichia_coli	13.983	0
1.1.1.22: UDP-glucose 6-dehydrogenase|unclassified	19.348	0
1.1.1.23: Histidinol dehydrogenase	16.402	0
1.1.1.23: Histidinol dehydrogenase|unclassified	16.402	0
1.1.1.251: Galactitol-1-phosphate 5-dehydrogenase	109.527	0
1.1.1.251: Galactitol-1-phosphate 5-dehydrogenase|g__Escherichia.s__Escherichia_coli	43.821	0
1.1.1.251: Galactitol-1-phosphate 5-dehydrogenase|unclassified	65.706	0
1.1.1.25: Shikimate dehydrogenase	130.38	0
1.1.1.25: Shikimate dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	10.587	0
1.1.1.25: Shikimate dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	70.01	0
1.1.1.25: Shikimate dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	49.783	0
1.1.1.262: 4-hydroxythreonine-4-phosphate dehydrogenase	62.133	0
1.1.1.262: 4-hydroxythreonine-4-phosphate dehydrogenase|unclassified	62.133	0
1.1.1.264: L-idonate 5-dehydrogenase (NAD(P)(+))	49.587	0
1.1.1.264: L-idonate 5-dehydrogenase (NAD(P)(+))|g__Escherichia.s__Escherichia_coli	49.587	0
1.1.1.267: 1-deoxy-D-xylulose-5-phosphate reductoisomerase	60.662	0
1.1.1.267: 1-deoxy-D-xylulose-5-phosphate reductoisomerase|g__Escherichia.s__Escherichia_coli	60.662	0
1.1.1.271: GDP-L-fucose synthase	31.116	0
1.1.1.271: GDP-L-fucose synthase|g__Escherichia.s__Escherichia_coli	12.518	0
1.1.1.271: GDP-L-fucose synthase|unclassified	18.598	0
1.1.1.276: Serine 3-dehydrogenase (NADP(+))	61.494	0
1.1.1.276: Serine 3-dehydrogenase (NADP(+))|unclassified	61.494	0
1.1.1.27: L-lactate dehydrogenase	55.153	0
1.1.1.27: L-lactate dehydrogenase|g__Staphylococcus.s__Staphylococcus_epidermidis	55.153	0
1.1.1.282: Quinate/shikimate dehydrogenase	138.13	0
1.1.1.282: Quinate/shikimate dehydrogenase|g__Escherichia.s__Escherichia_coli	138.13	0
1.1.1.284: S-(hydroxymethyl)glutathione dehydrogenase	50.542	0
1.1.1.284: S-(hydroxymethyl)glutathione dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	8.505	0
1.1.1.284: S-(hydroxymethyl)glutathione dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.14	0
1.1.1.284: S-(hydroxymethyl)glutathione dehydrogenase|unclassified	29.897	0
1.1.1.28: D-lactate dehydrogenase	160.499	0
1.1.1.28: D-lactate dehydrogenase|g__Escherichia.s__Escherichia_coli	44.938	0
1.1.1.28: D-lactate dehydrogenase|unclassified	115.561	0
1.1.1.290: 4-phosphoerythronate dehydrogenase	42.904	0
1.1.1.290: 4-phosphoerythronate dehydrogenase|g__Escherichia.s__Escherichia_coli	26.842	0
1.1.1.290: 4-phosphoerythronate dehydrogenase|unclassified	16.062	0
1.1.1.292: 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	52.478	0
1.1.1.292: 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)|g__Escherichia.s__Escherichia_coli	52.478	0
1.1.1.298: 3-hydroxypropionate dehydrogenase (NADP(+))	26.896	0
1.1.1.298: 3-hydroxypropionate dehydrogenase (NADP(+))|unclassified	26.896	0
1.1.1.2: Alcohol dehydrogenase (NADP(+))	27.117	0
1.1.1.2: Alcohol dehydrogenase (NADP(+))|g__Escherichia.s__Escherichia_coli	27.117	0
1.1.1.305: UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)	93.544	0
1.1.1.305: UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)|g__Escherichia.s__Escherichia_coli	93.544	0
1.1.1.31: 3-hydroxyisobutyrate dehydrogenase	9.531	0
1.1.1.31: 3-hydroxyisobutyrate dehydrogenase|unclassified	9.531	0
1.1.1.336: UDP-N-acetyl-D-mannosamine dehydrogenase	83.109	0
1.1.1.336: UDP-N-acetyl-D-mannosamine dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	42.863	0
1.1.1.336: UDP-N-acetyl-D-mannosamine dehydrogenase|g__Escherichia.s__Escherichia_coli	40.246	0
1.1.1.346: 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	59.89	0
1.1.1.346: 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)|g__Chromobacterium.s__Chromobacterium_violaceum	43.238	0
1.1.1.346: 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)|g__Escherichia.s__Escherichia_coli	16.652	0
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase	185.901	0
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase|g__Escherichia.s__Escherichia_coli	101.299	0
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase|unclassified	84.601	0
1.1.1.37: Malate dehydrogenase	31.478	0
1.1.1.37: Malate dehydrogenase|unclassified	31.478	0
1.1.1.38: Malate dehydrogenase (oxaloacetate-decarboxylating)	90.46	0
1.1.1.38: Malate dehydrogenase (oxaloacetate-decarboxylating)|g__Escherichia.s__Escherichia_coli	21.177	0
1.1.1.38: Malate dehydrogenase (oxaloacetate-decarboxylating)|unclassified	69.283	0
1.1.1.3: Homoserine dehydrogenase	171.471	0
1.1.1.3: Homoserine dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	19.618	0
1.1.1.3: Homoserine dehydrogenase|g__Escherichia.s__Escherichia_coli	30.285	0
1.1.1.3: Homoserine dehydrogenase|unclassified	121.569	0
1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	67.408	0
1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))|g__Chromobacterium.s__Chromobacterium_violaceum	43.595	0
1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))|g__Polaromonas.s__Polaromonas_naphthalenivorans	5.821	0
1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))|unclassified	17.992	0
1.1.1.42: Isocitrate dehydrogenase (NADP(+))	150.029	0
1.1.1.42: Isocitrate dehydrogenase (NADP(+))|g__Chromobacterium.s__Chromobacterium_violaceum	4.421	0
1.1.1.42: Isocitrate dehydrogenase (NADP(+))|g__Corynebacterium.s__Corynebacterium_glutamicum	39.393	0
1.1.1.42: Isocitrate dehydrogenase (NADP(+))|g__Escherichia.s__Escherichia_coli	106.215	0
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	81.113	0
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)|g__Corynebacterium.s__Corynebacterium_glutamicum	14.59	0
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)|g__Escherichia.s__Escherichia_coli	44.424	0
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)|unclassified	22.099	0
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+))	91.025	0
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+))|g__Escherichia.s__Escherichia_coli	28.763	0
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+))|unclassified	62.262	0
1.1.1.56: Ribitol 2-dehydrogenase	30.539	0
1.1.1.56: Ribitol 2-dehydrogenase|g__Escherichia.s__Escherichia_coli	30.539	0
1.1.1.57: Fructuronate reductase	132.531	0
1.1.1.57: Fructuronate reductase|g__Escherichia.s__Escherichia_coli	132.531	0
1.1.1.58: Tagaturonate reductase	37.166	0
1.1.1.58: Tagaturonate reductase|g__Escherichia.s__Escherichia_coli	37.166	0
1.1.1.60: 2-hydroxy-3-oxopropionate reductase	494.731	0
1.1.1.60: 2-hydroxy-3-oxopropionate reductase|g__Escherichia.s__Escherichia_coli	316.702	0
1.1.1.60: 2-hydroxy-3-oxopropionate reductase|g__Roseobacter.s__Roseobacter_denitrificans	101.238	0
1.1.1.60: 2-hydroxy-3-oxopropionate reductase|unclassified	76.791	0
1.1.1.69: Gluconate 5-dehydrogenase	13.679	0
1.1.1.69: Gluconate 5-dehydrogenase|unclassified	13.679	0
1.1.1.6: Glycerol dehydrogenase	33.11	0
1.1.1.6: Glycerol dehydrogenase|g__Escherichia.s__Escherichia_coli	22.877	0
1.1.1.6: Glycerol dehydrogenase|unclassified	10.233	0
1.1.1.77: Lactaldehyde reductase	81.077	0
1.1.1.77: Lactaldehyde reductase|g__Escherichia.s__Escherichia_coli	68.536	0
1.1.1.77: Lactaldehyde reductase|unclassified	12.541	0
1.1.1.79: Glyoxylate reductase (NADP(+))	24.735	0
1.1.1.79: Glyoxylate reductase (NADP(+))|g__Polaromonas.s__Polaromonas_naphthalenivorans	24.735	0
1.1.1.83: D-malate dehydrogenase (decarboxylating)	81.475	0
1.1.1.83: D-malate dehydrogenase (decarboxylating)|g__Escherichia.s__Escherichia_coli	48.923	0
1.1.1.83: D-malate dehydrogenase (decarboxylating)|unclassified	32.552	0
1.1.1.85: 3-isopropylmalate dehydrogenase	24.25	0
1.1.1.85: 3-isopropylmalate dehydrogenase|unclassified	24.25	0
1.1.1.86: Ketol-acid reductoisomerase (NADP(+))	52.764	0
1.1.1.86: Ketol-acid reductoisomerase (NADP(+))|g__Escherichia.s__Escherichia_coli	16.527	0
1.1.1.86: Ketol-acid reductoisomerase (NADP(+))|unclassified	36.237	0
1.1.1.91: Aryl-alcohol dehydrogenase (NADP(+))	10.923	0
1.1.1.91: Aryl-alcohol dehydrogenase (NADP(+))|g__Escherichia.s__Escherichia_coli	10.923	0
1.1.1.93: Tartrate dehydrogenase	22.197	0
1.1.1.93: Tartrate dehydrogenase|unclassified	22.197	0
1.1.1.94: Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	17.382	0
1.1.1.94: Glycerol-3-phosphate dehydrogenase (NAD(P)(+))|unclassified	17.382	0
1.1.1.95: Phosphoglycerate dehydrogenase	28.254	0
1.1.1.95: Phosphoglycerate dehydrogenase|unclassified	28.254	0
1.1.1.9: D-xylulose reductase	54.829	0
1.1.1.9: D-xylulose reductase|g__Roseobacter.s__Roseobacter_denitrificans	54.829	0
1.1.3.15: (S)-2-hydroxy-acid oxidase	14.267	0
1.1.3.15: (S)-2-hydroxy-acid oxidase|unclassified	14.267	0
1.1.5.2: Quinoprotein glucose dehydrogenase (PQQ, quinone)	118.212	0
1.1.5.2: Quinoprotein glucose dehydrogenase (PQQ, quinone)|g__Escherichia.s__Escherichia_coli	78.519	0
1.1.5.2: Quinoprotein glucose dehydrogenase (PQQ, quinone)|unclassified	39.693	0
1.1.5.3: Glycerol-3-phosphate dehydrogenase	147.864	0
1.1.5.3: Glycerol-3-phosphate dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	16.096	0
1.1.5.3: Glycerol-3-phosphate dehydrogenase|g__Escherichia.s__Escherichia_coli	48.114	0
1.1.5.3: Glycerol-3-phosphate dehydrogenase|unclassified	83.654	0
1.1.5.4: Malate dehydrogenase (quinone)	234.181	0
1.1.5.4: Malate dehydrogenase (quinone)|g__Corynebacterium.s__Corynebacterium_glutamicum	22.672	0
1.1.5.4: Malate dehydrogenase (quinone)|g__Escherichia.s__Escherichia_coli	94.921	0
1.1.5.4: Malate dehydrogenase (quinone)|unclassified	116.589	0
1.1.99.1: Choline dehydrogenase	31.56	0
1.1.99.1: Choline dehydrogenase|unclassified	31.56	0
1.10.2.2: Quinol--cytochrome-c reductase	19.706	0
1.10.2.2: Quinol--cytochrome-c reductase|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.706	0
1.11.1.15: Peroxiredoxin	251.836	0
1.11.1.15: Peroxiredoxin|g__Chromobacterium.s__Chromobacterium_violaceum	32.882	0
1.11.1.15: Peroxiredoxin|g__Corynebacterium.s__Corynebacterium_glutamicum	41.677	0
1.11.1.15: Peroxiredoxin|g__Escherichia.s__Escherichia_coli	75.14	0
1.11.1.15: Peroxiredoxin|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.937	0
1.11.1.15: Peroxiredoxin|unclassified	71.201	0
1.11.1.21: Catalase peroxidase	252.293	0
1.11.1.21: Catalase peroxidase|g__Escherichia.s__Escherichia_coli	13.996	0
1.11.1.21: Catalase peroxidase|g__Staphylococcus.s__Staphylococcus_epidermidis	190.496	0
1.11.1.21: Catalase peroxidase|unclassified	47.801	0
1.11.1.5: Cytochrome-c peroxidase	34.909	0
1.11.1.5: Cytochrome-c peroxidase|g__Escherichia.s__Escherichia_coli	34.909	0
1.11.1.6: Catalase	205.032	0
1.11.1.6: Catalase|g__Chromobacterium.s__Chromobacterium_violaceum	3.42	0
1.11.1.6: Catalase|g__Escherichia.s__Escherichia_coli	19.823	0
1.11.1.6: Catalase|g__Polaromonas.s__Polaromonas_naphthalenivorans	39.662	0
1.11.1.6: Catalase|g__Staphylococcus.s__Staphylococcus_epidermidis	72.27	0
1.11.1.6: Catalase|unclassified	69.858	0
1.12.99.6: Hydrogenase (acceptor)	255.375	0
1.12.99.6: Hydrogenase (acceptor)|g__Escherichia.s__Escherichia_coli	115.43	0
1.12.99.6: Hydrogenase (acceptor)|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.717	0
1.12.99.6: Hydrogenase (acceptor)|g__Staphylococcus.s__Staphylococcus_epidermidis	6.828	0
1.12.99.6: Hydrogenase (acceptor)|unclassified	107.401	0
1.13.11.15: 3,4-dihydroxyphenylacetate 2,3-dioxygenase	119.766	0
1.13.11.15: 3,4-dihydroxyphenylacetate 2,3-dioxygenase|g__Escherichia.s__Escherichia_coli	119.766	0
1.13.11.16: 3-carboxyethylcatechol 2,3-dioxygenase	34.372	0
1.13.11.16: 3-carboxyethylcatechol 2,3-dioxygenase|g__Escherichia.s__Escherichia_coli	34.372	0
1.13.11.1: Catechol 1,2-dioxygenase	23.282	0
1.13.11.1: Catechol 1,2-dioxygenase|g__Escherichia.s__Escherichia_coli	23.282	0
1.13.11.24: Quercetin 2,3-dioxygenase	65.179	0
1.13.11.24: Quercetin 2,3-dioxygenase|g__Staphylococcus.s__Staphylococcus_epidermidis	65.179	0
1.13.11.27: 4-hydroxyphenylpyruvate dioxygenase	17.743	0
1.13.11.27: 4-hydroxyphenylpyruvate dioxygenase|g__Chromobacterium.s__Chromobacterium_violaceum	13.454	0
1.13.11.27: 4-hydroxyphenylpyruvate dioxygenase|g__Roseobacter.s__Roseobacter_denitrificans	4.289	0
1.13.11.3: Protocatechuate 3,4-dioxygenase	81.823	0
1.13.11.3: Protocatechuate 3,4-dioxygenase|g__Corynebacterium.s__Corynebacterium_glutamicum	31.127	0
1.13.11.3: Protocatechuate 3,4-dioxygenase|g__Roseobacter.s__Roseobacter_denitrificans	50.696	0
1.13.11.4: Gentisate 1,2-dioxygenase	73.028	0
1.13.11.4: Gentisate 1,2-dioxygenase|g__Corynebacterium.s__Corynebacterium_glutamicum	53.188	0
1.13.11.4: Gentisate 1,2-dioxygenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.84	0
1.13.11.8: Protocatechuate 4,5-dioxygenase	21.872	0
1.13.11.8: Protocatechuate 4,5-dioxygenase|unclassified	21.872	0
1.13.12.19: 2-oxuglutarate dioxygenase (ethylene-forming)	37.82	0
1.13.12.19: 2-oxuglutarate dioxygenase (ethylene-forming)|g__Escherichia.s__Escherichia_coli	37.82	0
1.14.11.17: Taurine dioxygenase	118.474	0
1.14.11.17: Taurine dioxygenase|g__Escherichia.s__Escherichia_coli	51.959	0
1.14.11.17: Taurine dioxygenase|g__Staphylococcus.s__Staphylococcus_epidermidis	66.515	0
1.14.11.33: DNA oxidative demethylase	28.224	0
1.14.11.33: DNA oxidative demethylase|g__Escherichia.s__Escherichia_coli	28.224	0
1.14.11.47: 50S ribosomal protein L16 3-hydroxylase	66.724	0
1.14.11.47: 50S ribosomal protein L16 3-hydroxylase|g__Escherichia.s__Escherichia_coli	66.724	0
1.14.12.10: Benzoate 1,2-dioxygenase	29.486	0
1.14.12.10: Benzoate 1,2-dioxygenase|g__Corynebacterium.s__Corynebacterium_glutamicum	29.486	0
1.14.12.13: 2-halobenzoate 1,2-dioxygenase	11.447	0
1.14.12.13: 2-halobenzoate 1,2-dioxygenase|g__Corynebacterium.s__Corynebacterium_glutamicum	4.262	0
1.14.12.13: 2-halobenzoate 1,2-dioxygenase|g__Escherichia.s__Escherichia_coli	7.185	0
1.14.12.17: Nitric oxide dioxygenase	159.345	0
1.14.12.17: Nitric oxide dioxygenase|g__Escherichia.s__Escherichia_coli	103.488	0
1.14.12.17: Nitric oxide dioxygenase|unclassified	55.857	0
1.14.12.18: Biphenyl 2,3-dioxygenase	24.652	0
1.14.12.18: Biphenyl 2,3-dioxygenase|g__Escherichia.s__Escherichia_coli	10.7	0
1.14.12.18: Biphenyl 2,3-dioxygenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.952	0
1.14.12.19: 3-phenylpropanoate dioxygenase	130.8	0
1.14.12.19: 3-phenylpropanoate dioxygenase|g__Escherichia.s__Escherichia_coli	92.982	0
1.14.12.19: 3-phenylpropanoate dioxygenase|unclassified	37.819	0
1.14.12.7: Phthalate 4,5-dioxygenase	35.426	0
1.14.12.7: Phthalate 4,5-dioxygenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	35.426	0
1.14.13.107: Limonene 1,2-monooxygenase	25.066	0
1.14.13.107: Limonene 1,2-monooxygenase|g__Corynebacterium.s__Corynebacterium_glutamicum	25.066	0
1.14.13.113: FAD-dependent urate hydroxylase	14.574	0
1.14.13.113: FAD-dependent urate hydroxylase|g__Escherichia.s__Escherichia_coli	14.574	0
1.14.13.127: 3-(3-hydroxy-phenyl)propanoic acid hydroxylase	65.374	0
1.14.13.127: 3-(3-hydroxy-phenyl)propanoic acid hydroxylase|g__Escherichia.s__Escherichia_coli	19.516	0
1.14.13.127: 3-(3-hydroxy-phenyl)propanoic acid hydroxylase|unclassified	45.858	0
1.14.13.59: L-lysine N(6)-monooxygenase (NADPH)	57.181	0
1.14.13.59: L-lysine N(6)-monooxygenase (NADPH)|unclassified	57.181	0
1.14.14.3: Alkanal monooxygenase (FMN-linked)	33.581	0
1.14.14.3: Alkanal monooxygenase (FMN-linked)|g__Escherichia.s__Escherichia_coli	33.581	0
1.14.14.9: 4-hydroxyphenylacetate 3-monooxygenase	124.337	0
1.14.14.9: 4-hydroxyphenylacetate 3-monooxygenase|g__Escherichia.s__Escherichia_coli	103.961	0
1.14.14.9: 4-hydroxyphenylacetate 3-monooxygenase|unclassified	20.376	0
1.14.16.1: Phenylalanine 4-monooxygenase	162.212	0
1.14.16.1: Phenylalanine 4-monooxygenase|g__Chromobacterium.s__Chromobacterium_violaceum	53.337	0
1.14.16.1: Phenylalanine 4-monooxygenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	51.39	0
1.14.16.1: Phenylalanine 4-monooxygenase|unclassified	57.484	0
1.14.99.46: Pyrimidine monooxygenase	226.363	0
1.14.99.46: Pyrimidine monooxygenase|g__Escherichia.s__Escherichia_coli	167.973	0
1.14.99.46: Pyrimidine monooxygenase|g__Staphylococcus.s__Staphylococcus_epidermidis	58.39	0
1.14.99.48: Heme oxygenase (staphylobilin-producing)	43.743	0
1.14.99.48: Heme oxygenase (staphylobilin-producing)|g__Staphylococcus.s__Staphylococcus_epidermidis	43.743	0
1.15.1.1: Superoxide dismutase	179.301	0
1.15.1.1: Superoxide dismutase|g__Escherichia.s__Escherichia_coli	138.985	0
1.15.1.1: Superoxide dismutase|g__Roseobacter.s__Roseobacter_denitrificans	40.316	0
1.16.1.1: Mercury(II) reductase	34.258	0
1.16.1.1: Mercury(II) reductase|g__Staphylococcus.s__Staphylococcus_epidermidis	18.83	0
1.16.1.1: Mercury(II) reductase|unclassified	15.429	0
1.16.1.3: Aquacobalamin reductase	26.987	0
1.16.1.3: Aquacobalamin reductase|unclassified	26.987	0
1.16.1.9: Ferric-chelate reductase (NADPH)	96.492	0
1.16.1.9: Ferric-chelate reductase (NADPH)|g__Escherichia.s__Escherichia_coli	96.492	0
1.16.3.1: Ferroxidase	328.881	0
1.16.3.1: Ferroxidase|g__Chromobacterium.s__Chromobacterium_violaceum	23.009	0
1.16.3.1: Ferroxidase|g__Corynebacterium.s__Corynebacterium_glutamicum	137.317	0
1.16.3.1: Ferroxidase|g__Polaromonas.s__Polaromonas_naphthalenivorans	119.46	0
1.16.3.1: Ferroxidase|unclassified	49.095	0
1.16.3.2: Bacterial non-heme ferritin	32.532	0
1.16.3.2: Bacterial non-heme ferritin|unclassified	32.532	0
1.17.1.4: Xanthine dehydrogenase	323.972	0
1.17.1.4: Xanthine dehydrogenase|g__Escherichia.s__Escherichia_coli	115.333	0
1.17.1.4: Xanthine dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	51.132	0
1.17.1.4: Xanthine dehydrogenase|g__Roseobacter.s__Roseobacter_denitrificans	3.824	0
1.17.1.4: Xanthine dehydrogenase|unclassified	153.683	0
1.17.1.5: Nicotinate dehydrogenase	106.357	0
1.17.1.5: Nicotinate dehydrogenase|g__Escherichia.s__Escherichia_coli	30.281	0
1.17.1.5: Nicotinate dehydrogenase|unclassified	76.076	0
1.17.1.8: 4-hydroxy-tetrahydrodipicolinate reductase	28.632	0
1.17.1.8: 4-hydroxy-tetrahydrodipicolinate reductase|g__Chromobacterium.s__Chromobacterium_violaceum	28.632	0
1.17.1.9: NO_NAME	1231.58	0
1.17.1.9: NO_NAME|g__Escherichia.s__Escherichia_coli	1018.287	0
1.17.1.9: NO_NAME|unclassified	213.293	0
1.17.4.1: Ribonucleoside-diphosphate reductase	392.504	0
1.17.4.1: Ribonucleoside-diphosphate reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	4.558	0
