# Gene Family	SRS1007613.pfam	tiny-test-data-mt.pfam
PF00043: Glutathione S-transferase, C-terminal domain|unclassified	13.918	0
PF00044: Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	132.662	0
PF00044: Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain|g__Escherichia.s__Escherichia_coli	22.399	0
PF00044: Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	71.593	0
PF00044: Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain|unclassified	38.67	0
PF00056: lactate/malate dehydrogenase, NAD binding domain	63.461	0
PF00056: lactate/malate dehydrogenase, NAD binding domain|g__Staphylococcus.s__Staphylococcus_epidermidis	55.153	0
PF00056: lactate/malate dehydrogenase, NAD binding domain|unclassified	8.308	0
PF00067: Cytochrome P450	138.739	0
PF00067: Cytochrome P450|g__Roseobacter.s__Roseobacter_denitrificans	73.561	0
PF00067: Cytochrome P450|unclassified	65.178	0
PF00069: Protein kinase domain	134.73	0
PF00069: Protein kinase domain|g__Escherichia.s__Escherichia_coli	36.472	0
PF00069: Protein kinase domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	29.355	0
PF00069: Protein kinase domain|unclassified	68.902	0
PF00072: Response regulator receiver domain	3246.767	0
PF00072: Response regulator receiver domain|g__Chromobacterium.s__Chromobacterium_violaceum	497.916	0
PF00072: Response regulator receiver domain|g__Corynebacterium.s__Corynebacterium_glutamicum	65.885	0
PF00072: Response regulator receiver domain|g__Escherichia.s__Escherichia_coli	1073.366	0
PF00072: Response regulator receiver domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	807.026	0
PF00072: Response regulator receiver domain|g__Roseobacter.s__Roseobacter_denitrificans	89.0	0
PF00072: Response regulator receiver domain|unclassified	713.574	0
PF00075: RNase H	34.917	0
PF00075: RNase H|g__Escherichia.s__Escherichia_coli	34.917	0
PF00076: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	29.706	0
PF00076: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|g__Polaromonas.s__Polaromonas_naphthalenivorans	29.706	0
PF00080: Copper/zinc superoxide dismutase (SODC)	69.89	0
PF00080: Copper/zinc superoxide dismutase (SODC)|g__Escherichia.s__Escherichia_coli	44.209	0
PF00080: Copper/zinc superoxide dismutase (SODC)|unclassified	25.681	0
PF00081: Iron/manganese superoxide dismutases, alpha-hairpin domain	135.092	0
PF00081: Iron/manganese superoxide dismutases, alpha-hairpin domain|g__Escherichia.s__Escherichia_coli	94.776	0
PF00081: Iron/manganese superoxide dismutases, alpha-hairpin domain|g__Roseobacter.s__Roseobacter_denitrificans	40.316	0
PF00082: Subtilase family	20.679	0
PF00082: Subtilase family|g__Corynebacterium.s__Corynebacterium_glutamicum	20.679	0
PF00083: Sugar (and other) transporter	1930.133	0
PF00083: Sugar (and other) transporter|g__Corynebacterium.s__Corynebacterium_glutamicum	59.336	0
PF00083: Sugar (and other) transporter|g__Escherichia.s__Escherichia_coli	1406.849	0
PF00083: Sugar (and other) transporter|g__Roseobacter.s__Roseobacter_denitrificans	17.552	0
PF00083: Sugar (and other) transporter|g__Staphylococcus.s__Staphylococcus_epidermidis	126.169	0
PF00083: Sugar (and other) transporter|unclassified	320.223	0
PF00085: Thioredoxin	2187.294	0
PF00085: Thioredoxin|g__Chromobacterium.s__Chromobacterium_violaceum	21.401	0
PF00085: Thioredoxin|g__Escherichia.s__Escherichia_coli	2081.28	0
PF00085: Thioredoxin|g__Polaromonas.s__Polaromonas_naphthalenivorans	44.98	0
PF00085: Thioredoxin|unclassified	39.634	0
PF00089: Trypsin	40.088	0
PF00089: Trypsin|g__Escherichia.s__Escherichia_coli	20.95	0
PF00089: Trypsin|unclassified	19.137	0
PF00106: short chain dehydrogenase	805.866	0
PF00106: short chain dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	36.242	0
PF00106: short chain dehydrogenase|g__Escherichia.s__Escherichia_coli	204.761	0
PF00106: short chain dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	150.022	0
PF00106: short chain dehydrogenase|g__Roseobacter.s__Roseobacter_denitrificans	71.927	0
PF00106: short chain dehydrogenase|g__Staphylococcus.s__Staphylococcus_epidermidis	29.216	0
PF00106: short chain dehydrogenase|unclassified	313.697	0
PF00107: Zinc-binding dehydrogenase	651.259	0
PF00107: Zinc-binding dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	8.505	0
PF00107: Zinc-binding dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	48.035	0
PF00107: Zinc-binding dehydrogenase|g__Escherichia.s__Escherichia_coli	338.062	0
PF00107: Zinc-binding dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	29.879	0
PF00107: Zinc-binding dehydrogenase|g__Roseobacter.s__Roseobacter_denitrificans	54.829	0
PF00107: Zinc-binding dehydrogenase|unclassified	171.949	0
PF00108: Thiolase, N-terminal domain	184.657	0
PF00108: Thiolase, N-terminal domain|g__Chromobacterium.s__Chromobacterium_violaceum	4.722	0
PF00108: Thiolase, N-terminal domain|g__Escherichia.s__Escherichia_coli	13.149	0
PF00108: Thiolase, N-terminal domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.746	0
PF00108: Thiolase, N-terminal domain|unclassified	153.04	0
PF00109: Beta-ketoacyl synthase, N-terminal domain	266.954	0
PF00109: Beta-ketoacyl synthase, N-terminal domain|g__Escherichia.s__Escherichia_coli	160.73	0
PF00109: Beta-ketoacyl synthase, N-terminal domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	53.491	0
PF00109: Beta-ketoacyl synthase, N-terminal domain|g__Roseobacter.s__Roseobacter_denitrificans	9.335	0
PF00109: Beta-ketoacyl synthase, N-terminal domain|g__Staphylococcus.s__Staphylococcus_epidermidis	12.824	0
PF00109: Beta-ketoacyl synthase, N-terminal domain|unclassified	30.573	0
PF00111: 2Fe-2S iron-sulfur cluster binding domain	570.034	0
PF00111: 2Fe-2S iron-sulfur cluster binding domain|g__Corynebacterium.s__Corynebacterium_glutamicum	40.947	0
PF00111: 2Fe-2S iron-sulfur cluster binding domain|g__Escherichia.s__Escherichia_coli	222.902	0
PF00111: 2Fe-2S iron-sulfur cluster binding domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	35.426	0
PF00111: 2Fe-2S iron-sulfur cluster binding domain|g__Roseobacter.s__Roseobacter_denitrificans	85.142	0
PF00111: 2Fe-2S iron-sulfur cluster binding domain|g__Staphylococcus.s__Staphylococcus_epidermidis	89.336	0
PF00111: 2Fe-2S iron-sulfur cluster binding domain|unclassified	96.281	0
PF00113: Enolase, C-terminal TIM barrel domain	152.092	0
PF00113: Enolase, C-terminal TIM barrel domain|g__Chromobacterium.s__Chromobacterium_violaceum	90.48	0
PF00113: Enolase, C-terminal TIM barrel domain|g__Escherichia.s__Escherichia_coli	41.128	0
PF00113: Enolase, C-terminal TIM barrel domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.898	0
PF00113: Enolase, C-terminal TIM barrel domain|g__Staphylococcus.s__Staphylococcus_epidermidis	13.585	0
PF00114: Pilin (bacterial filament)	67.525	0
PF00114: Pilin (bacterial filament)|g__Chromobacterium.s__Chromobacterium_violaceum	18.601	0
PF00114: Pilin (bacterial filament)|g__Polaromonas.s__Polaromonas_naphthalenivorans	39.071	0
PF00114: Pilin (bacterial filament)|unclassified	9.853	0
PF00115: Cytochrome C and Quinol oxidase polypeptide I	395.955	0
PF00115: Cytochrome C and Quinol oxidase polypeptide I|g__Chromobacterium.s__Chromobacterium_violaceum	8.578	0
PF00115: Cytochrome C and Quinol oxidase polypeptide I|g__Escherichia.s__Escherichia_coli	191.909	0
PF00115: Cytochrome C and Quinol oxidase polypeptide I|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.501	0
PF00115: Cytochrome C and Quinol oxidase polypeptide I|g__Roseobacter.s__Roseobacter_denitrificans	2.821	0
PF00115: Cytochrome C and Quinol oxidase polypeptide I|g__Staphylococcus.s__Staphylococcus_epidermidis	56.266	0
PF00115: Cytochrome C and Quinol oxidase polypeptide I|unclassified	110.881	0
PF00116: Cytochrome C oxidase subunit II, periplasmic domain	18.37	0
PF00116: Cytochrome C oxidase subunit II, periplasmic domain|unclassified	18.37	0
PF00117: Glutamine amidotransferase class-I	470.57	0
PF00117: Glutamine amidotransferase class-I|g__Chromobacterium.s__Chromobacterium_violaceum	23.979	0
PF00117: Glutamine amidotransferase class-I|g__Corynebacterium.s__Corynebacterium_glutamicum	126.717	0
PF00117: Glutamine amidotransferase class-I|g__Escherichia.s__Escherichia_coli	170.991	0
PF00117: Glutamine amidotransferase class-I|g__Polaromonas.s__Polaromonas_naphthalenivorans	18.33	0
PF00117: Glutamine amidotransferase class-I|g__Roseobacter.s__Roseobacter_denitrificans	13.141	0
PF00117: Glutamine amidotransferase class-I|g__Staphylococcus.s__Staphylococcus_epidermidis	29.044	0
PF00117: Glutamine amidotransferase class-I|unclassified	88.367	0
PF00118: TCP-1/cpn60 chaperonin family	162.102	0
PF00118: TCP-1/cpn60 chaperonin family|g__Corynebacterium.s__Corynebacterium_glutamicum	13.786	0
PF00118: TCP-1/cpn60 chaperonin family|g__Escherichia.s__Escherichia_coli	15.31	0
PF00118: TCP-1/cpn60 chaperonin family|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.816	0
PF00118: TCP-1/cpn60 chaperonin family|g__Roseobacter.s__Roseobacter_denitrificans	10.675	0
PF00118: TCP-1/cpn60 chaperonin family|unclassified	108.515	0
PF00119: ATP synthase A chain	347.833	0
PF00119: ATP synthase A chain|g__Corynebacterium.s__Corynebacterium_glutamicum	19.42	0
PF00119: ATP synthase A chain|g__Escherichia.s__Escherichia_coli	61.24	0
PF00119: ATP synthase A chain|g__Polaromonas.s__Polaromonas_naphthalenivorans	84.798	0
PF00119: ATP synthase A chain|g__Staphylococcus.s__Staphylococcus_epidermidis	134.963	0
PF00119: ATP synthase A chain|unclassified	47.413	0
PF00120: Glutamine synthetase, catalytic domain	207.271	0
PF00120: Glutamine synthetase, catalytic domain|g__Escherichia.s__Escherichia_coli	21.839	0
PF00120: Glutamine synthetase, catalytic domain|unclassified	185.432	0
PF00121: Triosephosphate isomerase	84.272	0
PF00121: Triosephosphate isomerase|g__Polaromonas.s__Polaromonas_naphthalenivorans	42.451	0
PF00121: Triosephosphate isomerase|unclassified	41.821	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family	3116.094	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family|g__Chromobacterium.s__Chromobacterium_violaceum	300.117	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family|g__Corynebacterium.s__Corynebacterium_glutamicum	132.308	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family|g__Escherichia.s__Escherichia_coli	1460.151	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family|g__Polaromonas.s__Polaromonas_naphthalenivorans	218.851	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family|g__Roseobacter.s__Roseobacter_denitrificans	115.604	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family|g__Staphylococcus.s__Staphylococcus_epidermidis	201.474	0
PF00126: Bacterial regulatory helix-turn-helix protein, lysR family|unclassified	687.589	0
PF00127: Copper binding proteins, plastocyanin/azurin family	54.835	0
PF00127: Copper binding proteins, plastocyanin/azurin family|g__Polaromonas.s__Polaromonas_naphthalenivorans	54.835	0
PF00128: Alpha amylase, catalytic domain	290.495	0
PF00128: Alpha amylase, catalytic domain|g__Chromobacterium.s__Chromobacterium_violaceum	42.972	0
PF00128: Alpha amylase, catalytic domain|g__Corynebacterium.s__Corynebacterium_glutamicum	38.281	0
PF00128: Alpha amylase, catalytic domain|g__Escherichia.s__Escherichia_coli	46.445	0
PF00128: Alpha amylase, catalytic domain|g__Roseobacter.s__Roseobacter_denitrificans	8.781	0
PF00128: Alpha amylase, catalytic domain|g__Staphylococcus.s__Staphylococcus_epidermidis	2.708	0
PF00128: Alpha amylase, catalytic domain|unclassified	151.309	0
PF00132: Bacterial transferase hexapeptide (six repeats)	540.613	0
PF00132: Bacterial transferase hexapeptide (six repeats)|g__Chromobacterium.s__Chromobacterium_violaceum	66.726	0
PF00132: Bacterial transferase hexapeptide (six repeats)|g__Corynebacterium.s__Corynebacterium_glutamicum	17.718	0
PF00132: Bacterial transferase hexapeptide (six repeats)|g__Escherichia.s__Escherichia_coli	244.305	0
PF00132: Bacterial transferase hexapeptide (six repeats)|g__Roseobacter.s__Roseobacter_denitrificans	14.798	0
PF00132: Bacterial transferase hexapeptide (six repeats)|unclassified	197.066	0
PF00133: tRNA synthetases class I (I, L, M and V)	319.603	0
PF00133: tRNA synthetases class I (I, L, M and V)|g__Chromobacterium.s__Chromobacterium_violaceum	22.476	0
PF00133: tRNA synthetases class I (I, L, M and V)|g__Corynebacterium.s__Corynebacterium_glutamicum	20.045	0
PF00133: tRNA synthetases class I (I, L, M and V)|g__Escherichia.s__Escherichia_coli	59.408	0
PF00133: tRNA synthetases class I (I, L, M and V)|g__Polaromonas.s__Polaromonas_naphthalenivorans	18.023	0
PF00133: tRNA synthetases class I (I, L, M and V)|g__Staphylococcus.s__Staphylococcus_epidermidis	43.112	0
PF00133: tRNA synthetases class I (I, L, M and V)|unclassified	156.538	0
PF00135: Carboxylesterase family	62.063	0
PF00135: Carboxylesterase family|g__Corynebacterium.s__Corynebacterium_glutamicum	21.886	0
PF00135: Carboxylesterase family|unclassified	40.177	0
PF00136: DNA polymerase family B	17.734	0
PF00136: DNA polymerase family B|unclassified	17.734	0
PF00137: ATP synthase subunit C	34.315	0
PF00137: ATP synthase subunit C|g__Escherichia.s__Escherichia_coli	34.315	0
PF00140: Sigma-70 factor, region 1.2	55.522	0
PF00140: Sigma-70 factor, region 1.2|g__Escherichia.s__Escherichia_coli	36.385	0
PF00140: Sigma-70 factor, region 1.2|unclassified	19.137	0
PF00141: Peroxidase	265.546	0
PF00141: Peroxidase|g__Escherichia.s__Escherichia_coli	13.996	0
PF00141: Peroxidase|g__Staphylococcus.s__Staphylococcus_epidermidis	190.496	0
PF00141: Peroxidase|unclassified	61.055	0
PF00142: 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	93.529	0
PF00142: 4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family|unclassified	93.529	0
PF00144: Beta-lactamase	91.898	0
PF00144: Beta-lactamase|g__Corynebacterium.s__Corynebacterium_glutamicum	27.644	0
PF00144: Beta-lactamase|g__Escherichia.s__Escherichia_coli	49.281	0
PF00144: Beta-lactamase|unclassified	14.973	0
PF00145: C-5 cytosine-specific DNA methylase	212.346	0
PF00145: C-5 cytosine-specific DNA methylase|g__Escherichia.s__Escherichia_coli	201.595	0
PF00145: C-5 cytosine-specific DNA methylase|g__Roseobacter.s__Roseobacter_denitrificans	10.751	0
PF00146: NADH dehydrogenase	12.474	0
PF00146: NADH dehydrogenase|g__Escherichia.s__Escherichia_coli	12.474	0
PF00148: Nitrogenase component 1 type Oxidoreductase	65.835	0
PF00148: Nitrogenase component 1 type Oxidoreductase|g__Polaromonas.s__Polaromonas_naphthalenivorans	35.464	0
PF00148: Nitrogenase component 1 type Oxidoreductase|g__Roseobacter.s__Roseobacter_denitrificans	30.371	0
PF00149: Calcineurin-like phosphoesterase	385.219	0
PF00149: Calcineurin-like phosphoesterase|g__Chromobacterium.s__Chromobacterium_violaceum	42.778	0
PF00149: Calcineurin-like phosphoesterase|g__Corynebacterium.s__Corynebacterium_glutamicum	35.582	0
PF00149: Calcineurin-like phosphoesterase|g__Escherichia.s__Escherichia_coli	274.277	0
PF00149: Calcineurin-like phosphoesterase|g__Roseobacter.s__Roseobacter_denitrificans	21.114	0
PF00149: Calcineurin-like phosphoesterase|unclassified	11.468	0
PF00152: tRNA synthetases class II (D, K and N)	279.1	0
PF00152: tRNA synthetases class II (D, K and N)|g__Chromobacterium.s__Chromobacterium_violaceum	10.677	0
PF00152: tRNA synthetases class II (D, K and N)|g__Corynebacterium.s__Corynebacterium_glutamicum	33.161	0
PF00152: tRNA synthetases class II (D, K and N)|g__Escherichia.s__Escherichia_coli	154.295	0
PF00152: tRNA synthetases class II (D, K and N)|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.379	0
PF00152: tRNA synthetases class II (D, K and N)|unclassified	55.587	0
PF00154: recA bacterial DNA recombination protein	14.634	0
PF00154: recA bacterial DNA recombination protein|unclassified	14.634	0
PF00155: Aminotransferase class I and II	825.905	0
PF00155: Aminotransferase class I and II|g__Chromobacterium.s__Chromobacterium_violaceum	122.11	0
PF00155: Aminotransferase class I and II|g__Corynebacterium.s__Corynebacterium_glutamicum	89.994	0
PF00155: Aminotransferase class I and II|g__Escherichia.s__Escherichia_coli	184.724	0
PF00155: Aminotransferase class I and II|g__Polaromonas.s__Polaromonas_naphthalenivorans	58.409	0
PF00155: Aminotransferase class I and II|g__Roseobacter.s__Roseobacter_denitrificans	77.223	0
PF00155: Aminotransferase class I and II|g__Staphylococcus.s__Staphylococcus_epidermidis	67.37	0
PF00155: Aminotransferase class I and II|unclassified	226.073	0
PF00156: Phosphoribosyl transferase domain	731.894	0
PF00156: Phosphoribosyl transferase domain|g__Chromobacterium.s__Chromobacterium_violaceum	48.29	0
PF00156: Phosphoribosyl transferase domain|g__Corynebacterium.s__Corynebacterium_glutamicum	246.55	0
PF00156: Phosphoribosyl transferase domain|g__Escherichia.s__Escherichia_coli	237.157	0
PF00156: Phosphoribosyl transferase domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	15.865	0
PF00156: Phosphoribosyl transferase domain|g__Roseobacter.s__Roseobacter_denitrificans	81.986	0
PF00156: Phosphoribosyl transferase domain|unclassified	102.046	0
PF00158: Sigma-54 interaction domain	739.585	0
PF00158: Sigma-54 interaction domain|g__Chromobacterium.s__Chromobacterium_violaceum	11.42	0
PF00158: Sigma-54 interaction domain|g__Corynebacterium.s__Corynebacterium_glutamicum	21.26	0
PF00158: Sigma-54 interaction domain|g__Escherichia.s__Escherichia_coli	335.12	0
PF00158: Sigma-54 interaction domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	114.429	0
PF00158: Sigma-54 interaction domain|g__Staphylococcus.s__Staphylococcus_epidermidis	11.119	0
PF00158: Sigma-54 interaction domain|unclassified	246.237	0
PF00160: Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	81.44	0
PF00160: Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD|g__Escherichia.s__Escherichia_coli	81.44	0
PF00162: Phosphoglycerate kinase	62.05	0
PF00162: Phosphoglycerate kinase|g__Staphylococcus.s__Staphylococcus_epidermidis	34.958	0
PF00162: Phosphoglycerate kinase|unclassified	27.093	0
PF00163: Ribosomal protein S4/S9 N-terminal domain	108.693	0
PF00163: Ribosomal protein S4/S9 N-terminal domain|g__Escherichia.s__Escherichia_coli	41.625	0
PF00163: Ribosomal protein S4/S9 N-terminal domain|unclassified	67.069	0
PF00165: Bacterial regulatory helix-turn-helix proteins, AraC family	48.466	0
PF00165: Bacterial regulatory helix-turn-helix proteins, AraC family|g__Escherichia.s__Escherichia_coli	40.691	0
PF00165: Bacterial regulatory helix-turn-helix proteins, AraC family|unclassified	7.775	0
PF00166: Chaperonin 10 Kd subunit	302.573	0
PF00166: Chaperonin 10 Kd subunit|g__Polaromonas.s__Polaromonas_naphthalenivorans	302.573	0
PF00171: Aldehyde dehydrogenase family	2991.712	0
PF00171: Aldehyde dehydrogenase family|g__Chromobacterium.s__Chromobacterium_violaceum	48.321	0
PF00171: Aldehyde dehydrogenase family|g__Corynebacterium.s__Corynebacterium_glutamicum	44.388	0
PF00171: Aldehyde dehydrogenase family|g__Escherichia.s__Escherichia_coli	1771.641	0
PF00171: Aldehyde dehydrogenase family|g__Polaromonas.s__Polaromonas_naphthalenivorans	83.024	0
PF00171: Aldehyde dehydrogenase family|g__Roseobacter.s__Roseobacter_denitrificans	3.362	0
PF00171: Aldehyde dehydrogenase family|g__Staphylococcus.s__Staphylococcus_epidermidis	33.937	0
PF00171: Aldehyde dehydrogenase family|unclassified	1007.039	0
PF00174: Oxidoreductase molybdopterin binding domain	67.076	0
PF00174: Oxidoreductase molybdopterin binding domain|g__Chromobacterium.s__Chromobacterium_violaceum	18.776	0
PF00174: Oxidoreductase molybdopterin binding domain|g__Escherichia.s__Escherichia_coli	11.832	0
PF00174: Oxidoreductase molybdopterin binding domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.484	0
PF00174: Oxidoreductase molybdopterin binding domain|unclassified	15.983	0
PF00175: Oxidoreductase NAD-binding domain	415.629	0
PF00175: Oxidoreductase NAD-binding domain|g__Corynebacterium.s__Corynebacterium_glutamicum	40.947	0
PF00175: Oxidoreductase NAD-binding domain|g__Escherichia.s__Escherichia_coli	158.808	0
PF00175: Oxidoreductase NAD-binding domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	35.426	0
PF00175: Oxidoreductase NAD-binding domain|g__Staphylococcus.s__Staphylococcus_epidermidis	20.705	0
