# Gene Family	SRS1007613.eggnog	tiny-test-data-mt.eggnog
COG0019: Specifically catalyzes the dec[...]P) to L-lysine (By similarity)	23.279	0
COG0019: Specifically catalyzes the dec[...]P) to L-lysine (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	23.279	0
COG0020: Catalyzes the condensation of [...] of terpenoids (By similarity)	89.781	0
COG0020: Catalyzes the condensation of [...] of terpenoids (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	59.0	0
COG0020: Catalyzes the condensation of [...] of terpenoids (By similarity)|g__Escherichia.s__Escherichia_coli	30.781	0
COG0021: Transketolase	41.933	0
COG0021: Transketolase|g__Escherichia.s__Escherichia_coli	26.506	0
COG0021: Transketolase|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.26	0
COG0021: Transketolase|unclassified	8.167	0
COG0022: Dehydrogenase, E1 component	42.105	0
COG0022: Dehydrogenase, E1 component|g__Escherichia.s__Escherichia_coli	15.226	0
COG0022: Dehydrogenase, E1 component|g__Staphylococcus.s__Staphylococcus_epidermidis	26.879	0
COG0024: Removes the N-terminal methion[...]scent proteins (By similarity)	32.366	0
COG0024: Removes the N-terminal methion[...]scent proteins (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	32.366	0
COG0025: Sodium hydrogen exchanger	88.919	0
COG0025: Sodium hydrogen exchanger|g__Escherichia.s__Escherichia_coli	88.919	0
COG0026: phosphoribosylaminoimidazole carboxylase atpase subunit	44.98	0
COG0026: phosphoribosylaminoimidazole carboxylase atpase subunit|g__Corynebacterium.s__Corynebacterium_glutamicum	31.254	0
COG0026: phosphoribosylaminoimidazole carboxylase atpase subunit|unclassified	13.726	0
COG0027: Catalyzes two reactions the fi[...]from formate, ATP and beta GAR	19.908	0
COG0027: Catalyzes two reactions the fi[...]from formate, ATP and beta GAR|g__Corynebacterium.s__Corynebacterium_glutamicum	4.744	0
COG0027: Catalyzes two reactions the fi[...]from formate, ATP and beta GAR|g__Escherichia.s__Escherichia_coli	15.164	0
COG0028: acetolactate synthase	28.148	0
COG0028: acetolactate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	8.381	0
COG0028: acetolactate synthase|g__Escherichia.s__Escherichia_coli	19.767	0
COG0029: L-aspartate oxidase	43.089	0
COG0029: L-aspartate oxidase|g__Escherichia.s__Escherichia_coli	30.001	0
COG0029: L-aspartate oxidase|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.087	0
COG0030: Specifically dimethylates two [...]f 30S subunits (By similarity)	86.541	0
COG0030: Specifically dimethylates two [...]f 30S subunits (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	45.794	0
COG0030: Specifically dimethylates two [...]f 30S subunits (By similarity)|g__Escherichia.s__Escherichia_coli	40.747	0
COG0031: cysteine biosynthetic process from serine	24.984	0
COG0031: cysteine biosynthetic process from serine|g__Escherichia.s__Escherichia_coli	24.984	0
COG0034: glutamine phosphoribosylpyrophosphate amidotransferase	8.452	0
COG0034: glutamine phosphoribosylpyrophosphate amidotransferase|unclassified	8.452	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)	97.239	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	42.026	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	35.123	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	8.451	0
COG0035: Catalyzes the conversion of ur[...]nd diphosphate (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	11.639	0
COG0036: ribulose-phosphate 3-epimerase activity	83.109	0
COG0036: ribulose-phosphate 3-epimerase activity|g__Escherichia.s__Escherichia_coli	13.051	0
COG0036: ribulose-phosphate 3-epimerase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	28.559	0
COG0036: ribulose-phosphate 3-epimerase activity|g__Roseobacter.s__Roseobacter_denitrificans	23.005	0
COG0036: ribulose-phosphate 3-epimerase activity|unclassified	18.495	0
COG0038: chloride channel	22.826	0
COG0038: chloride channel|g__Escherichia.s__Escherichia_coli	22.826	0
COG0039: Catalyzes the reversible oxida[...]o oxaloacetate (By similarity)	55.153	0
COG0039: Catalyzes the reversible oxida[...]o oxaloacetate (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	55.153	0
COG0040: Catalyzes the condensation of [...]matic activity (By similarity)	27.801	0
COG0040: Catalyzes the condensation of [...]matic activity (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	27.801	0
COG0041: Catalyzes the conversion of N5[...]leotide (CAIR) (By similarity)	113.413	0
COG0041: Catalyzes the conversion of N5[...]leotide (CAIR) (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	113.413	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)	72.985	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	48.298	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)|g__Escherichia.s__Escherichia_coli	5.761	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.983	0
COG0042: Catalyzes the synthesis of dih[...] of most tRNAs (By similarity)|unclassified	4.944	0
COG0043: Catalyzes the decarboxylation [...]taprenylphenol (By similarity)	12.347	0
COG0043: Catalyzes the decarboxylation [...]taprenylphenol (By similarity)|unclassified	12.347	0
COG0045: Succinyl-CoA synthetase subunit beta	30.345	0
COG0045: Succinyl-CoA synthetase subunit beta|g__Chromobacterium.s__Chromobacterium_violaceum	5.803	0
COG0045: Succinyl-CoA synthetase subunit beta|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.141	0
COG0045: Succinyl-CoA synthetase subunit beta|g__Roseobacter.s__Roseobacter_denitrificans	14.401	0
COG0046: phosphoribosylformylglycinamidine synthase	14.16	0
COG0046: phosphoribosylformylglycinamidine synthase|g__Corynebacterium.s__Corynebacterium_glutamicum	14.16	0
COG0049: One of the primary rRNA bindin[...]he E-site tRNA (By similarity)	97.443	0
COG0049: One of the primary rRNA bindin[...]he E-site tRNA (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	97.443	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)	122.817	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	14.378	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	23.283	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Escherichia.s__Escherichia_coli	18.925	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	4.208	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	56.733	0
COG0050: This protein promotes the GTP-[...]n biosynthesis (By similarity)|unclassified	5.29	0
COG0051: tRNA binding	241.247	0
COG0051: tRNA binding|g__Roseobacter.s__Roseobacter_denitrificans	241.247	0
COG0052: 30S ribosomal protein S2	30.454	0
COG0052: 30S ribosomal protein S2|g__Escherichia.s__Escherichia_coli	23.885	0
COG0052: 30S ribosomal protein S2|unclassified	6.569	0
COG0053: cation diffusion facilitator family transporter	95.408	0
COG0053: cation diffusion facilitator family transporter|g__Escherichia.s__Escherichia_coli	95.408	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)	92.235	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	64.203	0
COG0054: Catalyzes the formation of 6,7[...] of riboflavin (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	28.032	0
COG0055: Produces ATP from ADP in the p[...] beta subunits (By similarity)	27.901	0
COG0055: Produces ATP from ADP in the p[...] beta subunits (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	3.827	0
COG0055: Produces ATP from ADP in the p[...] beta subunits (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	24.073	0
COG0056: Produces ATP from ADP in the p[...]latory subunit (By similarity)	60.438	0
COG0056: Produces ATP from ADP in the p[...]latory subunit (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	3.359	0
COG0056: Produces ATP from ADP in the p[...]latory subunit (By similarity)|g__Escherichia.s__Escherichia_coli	16.072	0
COG0056: Produces ATP from ADP in the p[...]latory subunit (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.763	0
COG0056: Produces ATP from ADP in the p[...]latory subunit (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	28.244	0
COG0057: glyceraldehyde3phosphate dehydrogenase	71.593	0
COG0057: glyceraldehyde3phosphate dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	71.593	0
COG0058: Phosphorylase is an important [...]ral properties (By similarity)	32.264	0
COG0058: Phosphorylase is an important [...]ral properties (By similarity)|g__Escherichia.s__Escherichia_coli	4.117	0
COG0058: Phosphorylase is an important [...]ral properties (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	28.147	0
COG0060: amino acids such as valine, to[...] Val-tRNA(Ile) (By similarity)	28.012	0
COG0060: amino acids such as valine, to[...] Val-tRNA(Ile) (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	18.023	0
COG0060: amino acids such as valine, to[...] Val-tRNA(Ile) (By similarity)|unclassified	9.989	0
COG0061: Catalyzes the phosphorylation [...] of phosphorus (By similarity)	34.284	0
COG0061: Catalyzes the phosphorylation [...] of phosphorus (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	24.038	0
COG0061: Catalyzes the phosphorylation [...] of phosphorus (By similarity)|unclassified	10.246	0
COG0065: Catalyzes the isomerization be[...]opropylmaleate (By similarity)	67.541	0
COG0065: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	55.642	0
COG0065: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	3.659	0
COG0065: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	8.241	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)	187.196	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	34.361	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Escherichia.s__Escherichia_coli	30.386	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	31.866	0
COG0066: Catalyzes the isomerization be[...]opropylmaleate (By similarity)|unclassified	90.583	0
COG0067: glutamate synthase	22.686	0
COG0067: glutamate synthase|g__Roseobacter.s__Roseobacter_denitrificans	22.686	0
COG0070: glutamate synthase	13.313	0
COG0070: glutamate synthase|unclassified	13.313	0
COG0073: Is required not only for elong[...]aminoacylation (By similarity)	26.188	0
COG0073: Is required not only for elong[...]aminoacylation (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	26.188	0
COG0074: Succinyl-CoA ligase ADP-forming subunit alpha	21.065	0
COG0074: Succinyl-CoA ligase ADP-forming subunit alpha|g__Escherichia.s__Escherichia_coli	21.065	0
COG0075: aminotransferase	112.865	0
COG0075: aminotransferase|g__Escherichia.s__Escherichia_coli	112.865	0
COG0078: ornithine carbamoyltransferase	22.169	0
COG0078: ornithine carbamoyltransferase|g__Escherichia.s__Escherichia_coli	11.712	0
COG0078: ornithine carbamoyltransferase|g__Staphylococcus.s__Staphylococcus_epidermidis	10.457	0
COG0079: Imidazole acetol-phosphate transaminase	30.712	0
COG0079: Imidazole acetol-phosphate transaminase|g__Chromobacterium.s__Chromobacterium_violaceum	30.712	0
COG0080: This protein binds directly to[...] ribosomal RNA (By similarity)	510.517	0
COG0080: This protein binds directly to[...] ribosomal RNA (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	280.581	0
COG0080: This protein binds directly to[...] ribosomal RNA (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	229.936	0
COG0081: Binds directly to 23S rRNA. Th[...]e tRNA release (By similarity)	6.713	0
COG0081: Binds directly to 23S rRNA. Th[...]e tRNA release (By similarity)|unclassified	6.713	0
COG0082: 5-enolpyruvylshikimate-3-phosphate phospholyase	43.231	0
COG0082: 5-enolpyruvylshikimate-3-phosphate phospholyase|g__Corynebacterium.s__Corynebacterium_glutamicum	43.231	0
COG0084: tatd family	87.175	0
COG0084: tatd family|g__Escherichia.s__Escherichia_coli	87.175	0
COG0085: DNA-dependent RNA polymerase c[...] as substrates (By similarity)	50.354	0
COG0085: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	24.045	0
COG0085: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Escherichia.s__Escherichia_coli	17.056	0
COG0085: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.253	0
COG0086: DNA-dependent RNA polymerase c[...] as substrates (By similarity)	54.479	0
COG0086: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	28.54	0
COG0086: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Escherichia.s__Escherichia_coli	18.878	0
COG0086: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	2.982	0
COG0086: DNA-dependent RNA polymerase c[...] as substrates (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	4.079	0
COG0087: One of the primary rRNA bindin[...]he 50S subunit (By similarity)	76.59	0
COG0087: One of the primary rRNA bindin[...]he 50S subunit (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	76.59	0
COG0088: One of the primary rRNA bindin[...]t and ribosome (By similarity)	37.806	0
COG0088: One of the primary rRNA bindin[...]t and ribosome (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	23.278	0
COG0088: One of the primary rRNA bindin[...]t and ribosome (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	14.528	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity	193.946	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Chromobacterium.s__Chromobacterium_violaceum	5.423	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Corynebacterium.s__Corynebacterium_glutamicum	128.801	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.371	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Roseobacter.s__Roseobacter_denitrificans	13.984	0
COG0090: One of the primary rRNA bindin[...]e peptidyltransferase activity|g__Staphylococcus.s__Staphylococcus_epidermidis	29.367	0
COG0091: The globular domain of the pro[...]e 70S ribosome (By similarity)	220.566	0
COG0091: The globular domain of the pro[...]e 70S ribosome (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	153.099	0
COG0091: The globular domain of the pro[...]e 70S ribosome (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	67.467	0
COG0092: Binds the lower part of the 30[...]or translation (By similarity)	12.758	0
COG0092: Binds the lower part of the 30[...]or translation (By similarity)|g__Escherichia.s__Escherichia_coli	12.758	0
COG0095: Lipoate-protein, ligase	11.702	0
COG0095: Lipoate-protein, ligase|unclassified	11.702	0
COG0096: One of the primary rRNA bindin[...]he 30S subunit (By similarity)	45.117	0
COG0096: One of the primary rRNA bindin[...]he 30S subunit (By similarity)|unclassified	45.117	0
COG0097: This protein binds to the 23S [...]sferase center (By similarity)	32.162	0
COG0097: This protein binds to the 23S [...]sferase center (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	32.162	0
COG0099: Located at the top of the head[...]1b), connecting the 2 subunits	310.085	0
COG0099: Located at the top of the head[...]1b), connecting the 2 subunits|g__Chromobacterium.s__Chromobacterium_violaceum	225.092	0
COG0099: Located at the top of the head[...]1b), connecting the 2 subunits|g__Escherichia.s__Escherichia_coli	84.993	0
COG0100: Located on the platform of the[...]e 70S ribosome (By similarity)	72.559	0
COG0100: Located on the platform of the[...]e 70S ribosome (By similarity)|g__Escherichia.s__Escherichia_coli	72.559	0
COG0101: Formation of pseudouridine at [...] transfer RNAs (By similarity)	63.301	0
COG0101: Formation of pseudouridine at [...] transfer RNAs (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	63.301	0
COG0102: This protein is one of the ear[...]f 50S assembly (By similarity)	40.581	0
COG0102: This protein is one of the ear[...]f 50S assembly (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	40.581	0
COG0103: 30S ribosomal protein S9	1053.72	0
COG0103: 30S ribosomal protein S9|g__Chromobacterium.s__Chromobacterium_violaceum	137.261	0
COG0103: 30S ribosomal protein S9|g__Escherichia.s__Escherichia_coli	853.275	0
COG0103: 30S ribosomal protein S9|g__Roseobacter.s__Roseobacter_denitrificans	63.184	0
COG0104: Plays an important role in the[...]purine nucleotide biosynthesis	12.57	0
COG0104: Plays an important role in the[...]purine nucleotide biosynthesis|g__Corynebacterium.s__Corynebacterium_glutamicum	12.57	0
COG0105: Major role in the synthesis of[...]e intermediate (By similarity)	149.707	0
COG0105: Major role in the synthesis of[...]e intermediate (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	102.066	0
COG0105: Major role in the synthesis of[...]e intermediate (By similarity)|g__Escherichia.s__Escherichia_coli	47.641	0
COG0107: IGPS catalyzes the conversion [...]e HisH subunit (By similarity)	6.318	0
COG0107: IGPS catalyzes the conversion [...]e HisH subunit (By similarity)|unclassified	6.318	0
COG0108: Catalyzes the conversion of D-[...]ne 4-phosphate (By similarity)	23.766	0
COG0108: Catalyzes the conversion of D-[...]ne 4-phosphate (By similarity)|g__Escherichia.s__Escherichia_coli	23.766	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)	117.963	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	14.764	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)|g__Escherichia.s__Escherichia_coli	74.345	0
COG0109: Converts heme B (protoheme IX)[...]syl side group (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	28.854	0
COG0110: acetyltransferase	109.291	0
COG0110: acetyltransferase|g__Escherichia.s__Escherichia_coli	102.368	0
COG0110: acetyltransferase|unclassified	6.923	0
COG0113: delta-aminolevulinic acid dehydratase	101.034	0
COG0113: delta-aminolevulinic acid dehydratase|g__Escherichia.s__Escherichia_coli	39.304	0
COG0113: delta-aminolevulinic acid dehydratase|g__Polaromonas.s__Polaromonas_naphthalenivorans	29.289	0
COG0113: delta-aminolevulinic acid dehydratase|g__Roseobacter.s__Roseobacter_denitrificans	32.441	0
COG0114: fumarate hydratase class II	124.605	0
COG0114: fumarate hydratase class II|g__Escherichia.s__Escherichia_coli	34.447	0
COG0114: fumarate hydratase class II|unclassified	90.159	0
COG0115: brancheD-chain amino acid aminotransferase	117.133	0
COG0115: brancheD-chain amino acid aminotransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	73.44	0
COG0115: brancheD-chain amino acid aminotransferase|g__Escherichia.s__Escherichia_coli	43.693	0
COG0117: Converts 2,5-diamino-6-(ribosy[...]e 5'-phosphate (By similarity)	43.801	0
COG0117: Converts 2,5-diamino-6-(ribosy[...]e 5'-phosphate (By similarity)|g__Escherichia.s__Escherichia_coli	32.045	0
COG0117: Converts 2,5-diamino-6-(ribosy[...]e 5'-phosphate (By similarity)|unclassified	11.757	0
COG0118: IGPS catalyzes the conversion [...] IGP and AICAR (By similarity)	38.556	0
COG0118: IGPS catalyzes the conversion [...] IGP and AICAR (By similarity)|g__Escherichia.s__Escherichia_coli	38.556	0
COG0119: Catalyzes the condensation of [...]opropylmalate) (By similarity)	25.4	0
COG0119: Catalyzes the condensation of [...]opropylmalate) (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.4	0
COG0120: phosphoriboisomerase A	175.999	0
COG0120: phosphoriboisomerase A|g__Escherichia.s__Escherichia_coli	32.69	0
COG0120: phosphoriboisomerase A|g__Roseobacter.s__Roseobacter_denitrificans	143.309	0
COG0121: Glutamine amidotransferase	16.914	0
COG0121: Glutamine amidotransferase|g__Escherichia.s__Escherichia_coli	16.914	0
COG0123: Histone deacetylase	24.406	0
COG0123: Histone deacetylase|g__Chromobacterium.s__Chromobacterium_violaceum	13.898	0
COG0123: Histone deacetylase|g__Roseobacter.s__Roseobacter_denitrificans	10.508	0
COG0124: Histidyl-trna synthetase	45.699	0
COG0124: Histidyl-trna synthetase|g__Corynebacterium.s__Corynebacterium_glutamicum	45.699	0
COG0125: Phosphorylation of dTMP to for[...]dTTP synthesis (By similarity)	153.017	0
COG0125: Phosphorylation of dTMP to for[...]dTTP synthesis (By similarity)|g__Escherichia.s__Escherichia_coli	92.733	0
COG0125: Phosphorylation of dTMP to for[...]dTTP synthesis (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.782	0
COG0125: Phosphorylation of dTMP to for[...]dTTP synthesis (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	40.502	0
COG0126: phosphoglycerate kinase	34.958	0
COG0126: phosphoglycerate kinase|g__Staphylococcus.s__Staphylococcus_epidermidis	34.958	0
COG0127: Pyrophosphatase that hydrolyze[...]osomal lesions (By similarity)	85.885	0
COG0127: Pyrophosphatase that hydrolyze[...]osomal lesions (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	48.436	0
COG0127: Pyrophosphatase that hydrolyze[...]osomal lesions (By similarity)|g__Escherichia.s__Escherichia_coli	20.413	0
COG0127: Pyrophosphatase that hydrolyze[...]osomal lesions (By similarity)|unclassified	17.036	0
COG0128: 5-enolpyruvylshikimate-3-phosphate synthase	105.624	0
COG0128: 5-enolpyruvylshikimate-3-phosphate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	76.178	0
COG0128: 5-enolpyruvylshikimate-3-phosphate synthase|g__Escherichia.s__Escherichia_coli	11.331	0
COG0128: 5-enolpyruvylshikimate-3-phosphate synthase|unclassified	18.115	0
COG0129: Dihydroxy-acid dehydratase	107.621	0
COG0129: Dihydroxy-acid dehydratase|g__Chromobacterium.s__Chromobacterium_violaceum	23.308	0
COG0129: Dihydroxy-acid dehydratase|g__Corynebacterium.s__Corynebacterium_glutamicum	15.56	0
COG0129: Dihydroxy-acid dehydratase|g__Escherichia.s__Escherichia_coli	41.36	0
COG0129: Dihydroxy-acid dehydratase|g__Roseobacter.s__Roseobacter_denitrificans	5.11	0
COG0129: Dihydroxy-acid dehydratase|unclassified	22.283	0
COG0130: Responsible for synthesis of p[...] transfer RNAs (By similarity)	57.719	0
COG0130: Responsible for synthesis of p[...] transfer RNAs (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	42.932	0
COG0130: Responsible for synthesis of p[...] transfer RNAs (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	14.787	0
COG0132: Catalyzes a mechanistically un[...]an ureido ring (By similarity)	138.142	0
COG0132: Catalyzes a mechanistically un[...]an ureido ring (By similarity)|g__Escherichia.s__Escherichia_coli	37.816	0
COG0132: Catalyzes a mechanistically un[...]an ureido ring (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	100.326	0
COG0133: The beta subunit is responsibl[...]e and L-serine (By similarity)	57.689	0
COG0133: The beta subunit is responsibl[...]e and L-serine (By similarity)|g__Escherichia.s__Escherichia_coli	5.163	0
COG0133: The beta subunit is responsibl[...]e and L-serine (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	41.659	0
COG0133: The beta subunit is responsibl[...]e and L-serine (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	10.867	0
COG0134: indole-3-glycerol phosphate synthase	20.032	0
COG0134: indole-3-glycerol phosphate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	20.032	0
COG0135: N-(5'-phosphoribosyl)anthranilate isomerase	68.389	0
COG0135: N-(5'-phosphoribosyl)anthranilate isomerase|g__Polaromonas.s__Polaromonas_naphthalenivorans	52.986	0
