# Gene Family	SRS1007613.go	tiny-test-data-mt.go
GO:0000160: [BP] phosphorelay signal transduction system|unclassified	815.254	0
GO:0000162: [BP] tryptophan biosynthetic process	228.462	0
GO:0000162: [BP] tryptophan biosynthetic process|g__Chromobacterium.s__Chromobacterium_violaceum	20.032	0
GO:0000162: [BP] tryptophan biosynthetic process|g__Corynebacterium.s__Corynebacterium_glutamicum	33.148	0
GO:0000162: [BP] tryptophan biosynthetic process|g__Escherichia.s__Escherichia_coli	38.612	0
GO:0000162: [BP] tryptophan biosynthetic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	70.044	0
GO:0000162: [BP] tryptophan biosynthetic process|g__Roseobacter.s__Roseobacter_denitrificans	34.629	0
GO:0000162: [BP] tryptophan biosynthetic process|unclassified	31.997	0
GO:0000166: [MF] nucleotide binding	2496.471	0
GO:0000166: [MF] nucleotide binding|g__Chromobacterium.s__Chromobacterium_violaceum	67.478	0
GO:0000166: [MF] nucleotide binding|g__Corynebacterium.s__Corynebacterium_glutamicum	256.318	0
GO:0000166: [MF] nucleotide binding|g__Escherichia.s__Escherichia_coli	1425.638	0
GO:0000166: [MF] nucleotide binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	219.345	0
GO:0000166: [MF] nucleotide binding|g__Roseobacter.s__Roseobacter_denitrificans	118.222	0
GO:0000166: [MF] nucleotide binding|g__Staphylococcus.s__Staphylococcus_epidermidis	8.836	0
GO:0000166: [MF] nucleotide binding|unclassified	400.632	0
GO:0000175: [MF] 3'-5'-exoribonuclease activity	188.882	0
GO:0000175: [MF] 3'-5'-exoribonuclease activity|g__Corynebacterium.s__Corynebacterium_glutamicum	12.099	0
GO:0000175: [MF] 3'-5'-exoribonuclease activity|g__Escherichia.s__Escherichia_coli	108.805	0
GO:0000175: [MF] 3'-5'-exoribonuclease activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	27.705	0
GO:0000175: [MF] 3'-5'-exoribonuclease activity|g__Roseobacter.s__Roseobacter_denitrificans	29.355	0
GO:0000175: [MF] 3'-5'-exoribonuclease activity|unclassified	10.918	0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	122.217	0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity|g__Chromobacterium.s__Chromobacterium_violaceum	45.794	0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity|g__Escherichia.s__Escherichia_coli	40.747	0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.313	0
GO:0000179: [MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity|unclassified	22.363	0
GO:0000210: [MF] NAD+ diphosphatase activity	48.446	0
GO:0000210: [MF] NAD+ diphosphatase activity|unclassified	48.446	0
GO:0000256: [BP] allantoin catabolic process	36.312	0
GO:0000256: [BP] allantoin catabolic process|g__Escherichia.s__Escherichia_coli	36.312	0
GO:0000270: [BP] peptidoglycan metabolic process	245.604	0
GO:0000270: [BP] peptidoglycan metabolic process|g__Escherichia.s__Escherichia_coli	71.828	0
GO:0000270: [BP] peptidoglycan metabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	38.396	0
GO:0000270: [BP] peptidoglycan metabolic process|unclassified	135.381	0
GO:0000271: [BP] polysaccharide biosynthetic process	304.957	0
GO:0000271: [BP] polysaccharide biosynthetic process|g__Chromobacterium.s__Chromobacterium_violaceum	22.736	0
GO:0000271: [BP] polysaccharide biosynthetic process|g__Corynebacterium.s__Corynebacterium_glutamicum	61.343	0
GO:0000271: [BP] polysaccharide biosynthetic process|g__Escherichia.s__Escherichia_coli	191.737	0
GO:0000271: [BP] polysaccharide biosynthetic process|unclassified	29.141	0
GO:0000272: [BP] polysaccharide catabolic process	493.864	0
GO:0000272: [BP] polysaccharide catabolic process|g__Escherichia.s__Escherichia_coli	144.708	0
GO:0000272: [BP] polysaccharide catabolic process|g__Staphylococcus.s__Staphylococcus_epidermidis	349.156	0
GO:0000287: [MF] magnesium ion binding	6972.675	0
GO:0000287: [MF] magnesium ion binding|g__Chromobacterium.s__Chromobacterium_violaceum	500.185	0
GO:0000287: [MF] magnesium ion binding|g__Corynebacterium.s__Corynebacterium_glutamicum	831.517	0
GO:0000287: [MF] magnesium ion binding|g__Escherichia.s__Escherichia_coli	2216.878	0
GO:0000287: [MF] magnesium ion binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	1881.725	0
GO:0000287: [MF] magnesium ion binding|g__Roseobacter.s__Roseobacter_denitrificans	158.028	0
GO:0000287: [MF] magnesium ion binding|g__Staphylococcus.s__Staphylococcus_epidermidis	487.121	0
GO:0000287: [MF] magnesium ion binding|unclassified	897.221	0
GO:0000302: [BP] response to reactive oxygen species	15.292	0
GO:0000302: [BP] response to reactive oxygen species|g__Escherichia.s__Escherichia_coli	3.486	0
GO:0000302: [BP] response to reactive oxygen species|g__Polaromonas.s__Polaromonas_naphthalenivorans	3.483	0
GO:0000302: [BP] response to reactive oxygen species|unclassified	8.324	0
GO:0000303: [BP] response to superoxide	37.553	0
GO:0000303: [BP] response to superoxide|g__Escherichia.s__Escherichia_coli	37.553	0
GO:0000309: [MF] nicotinamide-nucleotide adenylyltransferase activity	34.533	0
GO:0000309: [MF] nicotinamide-nucleotide adenylyltransferase activity|unclassified	34.533	0
GO:0000310: [MF] xanthine phosphoribosyltransferase activity	119.26	0
GO:0000310: [MF] xanthine phosphoribosyltransferase activity|g__Escherichia.s__Escherichia_coli	66.107	0
GO:0000310: [MF] xanthine phosphoribosyltransferase activity|unclassified	53.154	0
GO:0000334: [MF] 3-hydroxyanthranilate 3,4-dioxygenase activity	8.505	0
GO:0000334: [MF] 3-hydroxyanthranilate 3,4-dioxygenase activity|unclassified	8.505	0
GO:0000345: [CC] cytosolic DNA-directed RNA polymerase complex	55.188	0
GO:0000345: [CC] cytosolic DNA-directed RNA polymerase complex|g__Polaromonas.s__Polaromonas_naphthalenivorans	55.188	0
GO:0000453: [BP] enzyme-directed rRNA 2'-O-methylation	46.941	0
GO:0000453: [BP] enzyme-directed rRNA 2'-O-methylation|g__Escherichia.s__Escherichia_coli	37.553	0
GO:0000453: [BP] enzyme-directed rRNA 2'-O-methylation|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.388	0
GO:0000455: [BP] enzyme-directed rRNA pseudouridine synthesis	70.431	0
GO:0000455: [BP] enzyme-directed rRNA pseudouridine synthesis|g__Escherichia.s__Escherichia_coli	63.22	0
GO:0000455: [BP] enzyme-directed rRNA pseudouridine synthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	7.211	0
GO:0000462: [BP] maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	137.261	0
GO:0000462: [BP] maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|g__Chromobacterium.s__Chromobacterium_violaceum	137.261	0
GO:0000502: [CC] proteasome complex	25.723	0
GO:0000502: [CC] proteasome complex|g__Corynebacterium.s__Corynebacterium_glutamicum	25.723	0
GO:0000703: [MF] oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	70.597	0
GO:0000703: [MF] oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity|g__Escherichia.s__Escherichia_coli	70.597	0
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition	41.692	0
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition|g__Chromobacterium.s__Chromobacterium_violaceum	8.795	0
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition|g__Polaromonas.s__Polaromonas_naphthalenivorans	27.255	0
GO:0000716: [BP] transcription-coupled nucleotide-excision repair, DNA damage recognition|unclassified	5.643	0
GO:0000724: [BP] double-strand break repair via homologous recombination	23.633	0
GO:0000724: [BP] double-strand break repair via homologous recombination|g__Chromobacterium.s__Chromobacterium_violaceum	14.438	0
GO:0000724: [BP] double-strand break repair via homologous recombination|unclassified	9.194	0
GO:0000725: [BP] recombinational repair	30.21	0
GO:0000725: [BP] recombinational repair|g__Chromobacterium.s__Chromobacterium_violaceum	8.953	0
GO:0000725: [BP] recombinational repair|unclassified	21.258	0
GO:0000731: [BP] DNA synthesis involved in DNA repair	31.16	0
GO:0000731: [BP] DNA synthesis involved in DNA repair|g__Escherichia.s__Escherichia_coli	31.16	0
GO:0000738: [BP] DNA catabolic process, exonucleolytic	20.969	0
GO:0000738: [BP] DNA catabolic process, exonucleolytic|g__Escherichia.s__Escherichia_coli	20.969	0
GO:0000746: [BP] conjugation	19.227	0
GO:0000746: [BP] conjugation|g__Escherichia.s__Escherichia_coli	19.227	0
GO:0000774: [MF] adenyl-nucleotide exchange factor activity	119.068	0
GO:0000774: [MF] adenyl-nucleotide exchange factor activity|g__Chromobacterium.s__Chromobacterium_violaceum	37.91	0
GO:0000774: [MF] adenyl-nucleotide exchange factor activity|g__Escherichia.s__Escherichia_coli	13.632	0
GO:0000774: [MF] adenyl-nucleotide exchange factor activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	67.525	0
GO:0000902: [BP] cell morphogenesis	198.878	0
GO:0000902: [BP] cell morphogenesis|g__Chromobacterium.s__Chromobacterium_violaceum	7.334	0
GO:0000902: [BP] cell morphogenesis|g__Escherichia.s__Escherichia_coli	125.946	0
GO:0000902: [BP] cell morphogenesis|g__Roseobacter.s__Roseobacter_denitrificans	13.842	0
GO:0000902: [BP] cell morphogenesis|unclassified	51.757	0
GO:0000906: [MF] 6,7-dimethyl-8-ribityllumazine synthase activity	262.393	0
GO:0000906: [MF] 6,7-dimethyl-8-ribityllumazine synthase activity|g__Corynebacterium.s__Corynebacterium_glutamicum	64.203	0
GO:0000906: [MF] 6,7-dimethyl-8-ribityllumazine synthase activity|g__Escherichia.s__Escherichia_coli	170.158	0
GO:0000906: [MF] 6,7-dimethyl-8-ribityllumazine synthase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	28.032	0
GO:0000907: [MF] sulfonate dioxygenase activity	13.937	0
GO:0000907: [MF] sulfonate dioxygenase activity|g__Escherichia.s__Escherichia_coli	13.937	0
GO:0000908: [MF] taurine dioxygenase activity	118.474	0
GO:0000908: [MF] taurine dioxygenase activity|g__Escherichia.s__Escherichia_coli	51.959	0
GO:0000908: [MF] taurine dioxygenase activity|g__Staphylococcus.s__Staphylococcus_epidermidis	66.515	0
GO:0000917: [BP] division septum assembly	381.843	0
GO:0000917: [BP] division septum assembly|g__Chromobacterium.s__Chromobacterium_violaceum	12.173	0
GO:0000917: [BP] division septum assembly|g__Corynebacterium.s__Corynebacterium_glutamicum	33.45	0
GO:0000917: [BP] division septum assembly|g__Escherichia.s__Escherichia_coli	145.899	0
GO:0000917: [BP] division septum assembly|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.181	0
GO:0000917: [BP] division septum assembly|g__Staphylococcus.s__Staphylococcus_epidermidis	61.933	0
GO:0000917: [BP] division septum assembly|unclassified	118.207	0
GO:0000920: [BP] septum digestion after cytokinesis	203.709	0
GO:0000920: [BP] septum digestion after cytokinesis|g__Escherichia.s__Escherichia_coli	203.709	0
GO:0000921: [BP] septin ring assembly	26.34	0
GO:0000921: [BP] septin ring assembly|unclassified	26.34	0
GO:0000967: [BP] rRNA 5'-end processing	154.022	0
GO:0000967: [BP] rRNA 5'-end processing|g__Escherichia.s__Escherichia_coli	34.315	0
GO:0000967: [BP] rRNA 5'-end processing|g__Staphylococcus.s__Staphylococcus_epidermidis	27.264	0
GO:0000967: [BP] rRNA 5'-end processing|unclassified	92.443	0
GO:0000976: [MF] transcription regulatory region sequence-specific DNA binding	262.797	0
GO:0000976: [MF] transcription regulatory region sequence-specific DNA binding|g__Escherichia.s__Escherichia_coli	148.439	0
GO:0000976: [MF] transcription regulatory region sequence-specific DNA binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	55.188	0
GO:0000976: [MF] transcription regulatory region sequence-specific DNA binding|unclassified	59.17	0
GO:0000986: [MF] bacterial-type cis-regulatory region sequence-specific DNA binding	130.895	0
GO:0000986: [MF] bacterial-type cis-regulatory region sequence-specific DNA binding|g__Escherichia.s__Escherichia_coli	58.587	0
GO:0000986: [MF] bacterial-type cis-regulatory region sequence-specific DNA binding|g__Staphylococcus.s__Staphylococcus_epidermidis	64.543	0
GO:0000986: [MF] bacterial-type cis-regulatory region sequence-specific DNA binding|unclassified	7.765	0
GO:0001047: [MF] core promoter binding	28.032	0
GO:0001047: [MF] core promoter binding|g__Escherichia.s__Escherichia_coli	28.032	0
GO:0001073: [MF] transcription antitermination factor activity, DNA binding	78.05	0
GO:0001073: [MF] transcription antitermination factor activity, DNA binding|g__Escherichia.s__Escherichia_coli	78.05	0
GO:0001123: [BP] transcription initiation from bacterial-type RNA polymerase promoter	38.699	0
GO:0001123: [BP] transcription initiation from bacterial-type RNA polymerase promoter|g__Escherichia.s__Escherichia_coli	32.109	0
GO:0001123: [BP] transcription initiation from bacterial-type RNA polymerase promoter|unclassified	6.59	0
GO:0001140: NO_NAME	7.765	0
GO:0001140: NO_NAME|unclassified	7.765	0
GO:0001150: NO_NAME	15.12	0
GO:0001150: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	11.42	0
GO:0001150: NO_NAME|g__Escherichia.s__Escherichia_coli	3.699	0
GO:0001151: NO_NAME	15.12	0
GO:0001151: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	11.42	0
GO:0001151: NO_NAME|g__Escherichia.s__Escherichia_coli	3.699	0
GO:0001216: [MF] DNA-binding transcription activator activity	194.247	0
GO:0001216: [MF] DNA-binding transcription activator activity|g__Chromobacterium.s__Chromobacterium_violaceum	25.338	0
GO:0001216: [MF] DNA-binding transcription activator activity|g__Escherichia.s__Escherichia_coli	32.862	0
GO:0001216: [MF] DNA-binding transcription activator activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	55.188	0
GO:0001216: [MF] DNA-binding transcription activator activity|unclassified	80.859	0
GO:0001217: [MF] DNA-binding transcription repressor activity	148.439	0
GO:0001217: [MF] DNA-binding transcription repressor activity|g__Escherichia.s__Escherichia_coli	148.439	0
GO:0001407: [BP] glycerophosphodiester transmembrane transport	17.484	0
GO:0001407: [BP] glycerophosphodiester transmembrane transport|g__Corynebacterium.s__Corynebacterium_glutamicum	10.194	0
GO:0001407: [BP] glycerophosphodiester transmembrane transport|unclassified	7.29	0
GO:0001514: [BP] selenocysteine incorporation	291.496	0
GO:0001514: [BP] selenocysteine incorporation|g__Escherichia.s__Escherichia_coli	243.268	0
GO:0001514: [BP] selenocysteine incorporation|unclassified	48.228	0
GO:0001522: [BP] pseudouridine synthesis	1582.09	0
GO:0001522: [BP] pseudouridine synthesis|g__Chromobacterium.s__Chromobacterium_violaceum	35.875	0
GO:0001522: [BP] pseudouridine synthesis|g__Corynebacterium.s__Corynebacterium_glutamicum	50.028	0
GO:0001522: [BP] pseudouridine synthesis|g__Escherichia.s__Escherichia_coli	1167.978	0
GO:0001522: [BP] pseudouridine synthesis|g__Polaromonas.s__Polaromonas_naphthalenivorans	87.968	0
GO:0001522: [BP] pseudouridine synthesis|unclassified	240.241	0
GO:0001558: [BP] regulation of cell growth	20.625	0
GO:0001558: [BP] regulation of cell growth|g__Escherichia.s__Escherichia_coli	20.625	0
GO:0001671: [MF] ATPase activator activity	21.765	0
GO:0001671: [MF] ATPase activator activity|g__Escherichia.s__Escherichia_coli	21.765	0
GO:0001680: [BP] tRNA 3'-terminal CCA addition	43.835	0
GO:0001680: [BP] tRNA 3'-terminal CCA addition|g__Polaromonas.s__Polaromonas_naphthalenivorans	43.835	0
GO:0001896: [BP] autolysis	203.709	0
GO:0001896: [BP] autolysis|g__Escherichia.s__Escherichia_coli	203.709	0
GO:0002058: [MF] uracil binding	84.39	0
GO:0002058: [MF] uracil binding|g__Escherichia.s__Escherichia_coli	84.39	0
GO:0002094: [MF] polyprenyltransferase activity	30.781	0
GO:0002094: [MF] polyprenyltransferase activity|g__Escherichia.s__Escherichia_coli	30.781	0
GO:0002098: [BP] tRNA wobble uridine modification	196.696	0
GO:0002098: [BP] tRNA wobble uridine modification|g__Escherichia.s__Escherichia_coli	176.079	0
GO:0002098: [BP] tRNA wobble uridine modification|unclassified	20.617	0
GO:0002099: [BP] tRNA wobble guanine modification	27.384	0
GO:0002099: [BP] tRNA wobble guanine modification|g__Escherichia.s__Escherichia_coli	13.501	0
GO:0002099: [BP] tRNA wobble guanine modification|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.883	0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing	199.158	0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing|g__Chromobacterium.s__Chromobacterium_violaceum	11.245	0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing|g__Corynebacterium.s__Corynebacterium_glutamicum	69.835	0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing|g__Escherichia.s__Escherichia_coli	29.929	0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing|g__Polaromonas.s__Polaromonas_naphthalenivorans	48.079	0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing|unclassified	40.071	0
GO:0002101: [BP] tRNA wobble cytosine modification	17.307	0
GO:0002101: [BP] tRNA wobble cytosine modification|g__Escherichia.s__Escherichia_coli	17.307	0
GO:0002128: [BP] tRNA nucleoside ribose methylation	14.881	0
GO:0002128: [BP] tRNA nucleoside ribose methylation|g__Escherichia.s__Escherichia_coli	14.881	0
GO:0002134: [MF] UTP binding	7.867	0
GO:0002134: [MF] UTP binding|unclassified	7.867	0
GO:0002143: [BP] tRNA wobble position uridine thiolation	379.964	0
GO:0002143: [BP] tRNA wobble position uridine thiolation|g__Escherichia.s__Escherichia_coli	379.964	0
GO:0002161: [MF] aminoacyl-tRNA editing activity	620.007	0
GO:0002161: [MF] aminoacyl-tRNA editing activity|g__Chromobacterium.s__Chromobacterium_violaceum	195.189	0
GO:0002161: [MF] aminoacyl-tRNA editing activity|g__Corynebacterium.s__Corynebacterium_glutamicum	20.045	0
GO:0002161: [MF] aminoacyl-tRNA editing activity|g__Escherichia.s__Escherichia_coli	52.345	0
GO:0002161: [MF] aminoacyl-tRNA editing activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	35.714	0
GO:0002161: [MF] aminoacyl-tRNA editing activity|g__Staphylococcus.s__Staphylococcus_epidermidis	43.112	0
GO:0002161: [MF] aminoacyl-tRNA editing activity|unclassified	273.602	0
GO:0002181: [BP] cytoplasmic translation	21.794	0
GO:0002181: [BP] cytoplasmic translation|g__Chromobacterium.s__Chromobacterium_violaceum	5.423	0
GO:0002181: [BP] cytoplasmic translation|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.371	0
GO:0002189: [CC] ribose phosphate diphosphokinase complex	13.599	0
GO:0002189: [CC] ribose phosphate diphosphokinase complex|g__Escherichia.s__Escherichia_coli	13.599	0
GO:0002935: [MF] tRNA (adenine-C2-)-methyltransferase activity	61.733	0
GO:0002935: [MF] tRNA (adenine-C2-)-methyltransferase activity|g__Chromobacterium.s__Chromobacterium_violaceum	21.375	0
GO:0002935: [MF] tRNA (adenine-C2-)-methyltransferase activity|g__Escherichia.s__Escherichia_coli	40.358	0
GO:0002938: [BP] tRNA guanine ribose methylation	15.847	0
GO:0002938: [BP] tRNA guanine ribose methylation|unclassified	15.847	0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification	330.815	0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification|g__Chromobacterium.s__Chromobacterium_violaceum	123.736	0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification|g__Corynebacterium.s__Corynebacterium_glutamicum	79.991	0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification|g__Escherichia.s__Escherichia_coli	69.703	0
